,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
3500,3500,2020,4,1,0,15,693908.1395661298,6464223.0199024165
3501,3501,2020,4,1,0,45,693928.3259806834,6464265.001272785
3502,3502,2020,4,1,1,15,693928.768067819,6464281.316025728
3503,3503,2020,4,1,1,45,693905.8938053268,6464221.105626876
3504,3504,2020,4,1,2,15,693927.7537066567,6464269.060099105
3505,3505,2020,4,1,2,45,693934.0558103306,6464296.428805305
3506,3506,2020,4,1,3,15,693927.1270159796,6464294.881789839
3507,3507,2020,4,1,3,45,693884.8361156645,6464243.302399596
3508,3508,2020,4,1,4,15,693903.2975278043,6464306.901685608
3509,3509,2020,4,1,4,45,693891.9971041633,6464314.352697661
3510,3510,2020,4,1,5,15,693903.7437290772,6464279.910372946
3511,3511,2020,4,1,5,45,693916.0459919366,6464311.739277786
3512,3512,2020,4,1,6,15,693886.8693754524,6464316.157103675
3513,3513,2020,4,1,6,45,693871.4565715169,6464361.060587523
3514,3514,2020,4,1,7,15,693881.0256381468,6464393.158945208
3515,3515,2020,4,1,7,45,693852.6508512244,6464379.994268395
3516,3516,2020,4,1,8,15,693879.7510886758,6464424.832296907
3517,3517,2020,4,1,8,45,693862.7920388944,6464437.70397055
3518,3518,2020,4,1,9,15,693901.9878524966,6464433.656546409
3519,3519,2020,4,1,9,45,693886.1671073439,6464396.003742522
3520,3520,2020,4,1,10,15,693887.2138577189,6464413.382532936
3521,3521,2020,4,1,10,45,693874.7459457797,6464423.99926877
3522,3522,2020,4,1,11,15,693906.9334741719,6464418.711246936
3523,3523,2020,4,1,11,45,693865.16287241,6464391.022749452
3524,3524,2020,4,1,12,15,693883.7478451992,6464407.812033257
3525,3525,2020,4,1,12,45,693900.1810069203,6464414.223557699
3526,3526,2020,4,1,13,15,693880.8027260687,6464406.873183131
3527,3527,2020,4,1,13,45,693868.4303835246,6464388.396378065
3528,3528,2020,4,1,14,15,693871.5215504147,6464407.90231178
3529,3529,2020,4,1,14,45,693898.0870094954,6464414.155761975
3530,3530,2020,4,1,15,15,693870.8048604999,6464404.847664634
3531,3531,2020,4,1,15,45,693879.1019737312,6464393.624379799
3532,3532,2020,4,1,16,15,693899.6953004143,6464392.50376178
3533,3533,2020,4,1,16,45,693894.3661504044,6464394.652496734
3534,3534,2020,4,1,17,15,693864.2555998422,6464387.773243382
3535,3535,2020,4,1,17,45,693848.8707150647,6464388.400909231
3536,3536,2020,4,1,18,15,693821.3375039389,6464412.944199062
3537,3537,2020,4,1,18,45,693843.1265384888,6464416.088333013
3538,3538,2020,4,1,19,15,693803.3988116405,6464375.295134352
3539,3539,2020,4,1,19,45,693834.1971507437,6464369.532501937
3540,3540,2020,4,1,20,15,693770.6746076747,6464319.671681672
3541,3541,2020,4,1,20,45,693799.2910538375,6464297.224258007
3542,3542,2020,4,1,21,15,693798.1712705266,6464229.716596347
3543,3543,2020,4,1,21,45,693848.7517827901,6464295.283713455
3544,3544,2020,4,1,22,15,693804.8184122612,6464235.685828333
3545,3545,2020,4,1,22,45,693829.7779263986,6464216.403891088
3546,3546,2020,4,2,1,45,693973.6514781722,6464142.62040988
3547,3547,2020,4,2,3,45,693979.0930638175,6464215.990132593
3548,3548,2020,4,2,4,15,693984.9315671423,6464228.906983341
3549,3549,2020,4,2,4,45,694003.4793142877,6464251.465573695
3550,3550,2020,4,2,5,15,693994.4927806556,6464253.100100717
3551,3551,2020,4,2,5,45,693988.1864480663,6464294.691333551
3552,3552,2020,4,2,6,15,693980.035993501,6464274.259498945
3553,3553,2020,4,2,6,45,693996.8472692164,6464307.920236618
3554,3554,2020,4,2,7,15,693983.7588055047,6464310.224964846
3555,3555,2020,4,2,7,45,693979.7243764134,6464326.831474626
3556,3556,2020,4,2,8,15,693970.5123350275,6464290.599430458
3557,3557,2020,4,2,8,45,693983.6710546797,6464324.007606402
3558,3558,2020,4,2,9,15,693969.4284142035,6464307.159214233
3559,3559,2020,4,2,9,45,693954.2598390962,6464272.875315606
3560,3560,2020,4,2,10,15,693956.7163105361,6464324.924884818
3561,3561,2020,4,2,10,45,693952.1130247916,6464325.734501532
3562,3562,2020,4,2,11,15,693914.9074833754,6464311.312126983
3563,3563,2020,4,2,11,45,693939.9819878881,6464348.456494407
3564,3564,2020,4,2,12,15,693934.9043578287,6464325.5528025245
3565,3565,2020,4,2,12,45,693933.8405128935,6464388.446407928
3566,3566,2020,4,2,13,15,693934.3744044985,6464398.111079899
3567,3567,2020,4,2,13,45,693914.5917317239,6464365.755580174
3568,3568,2020,4,2,14,15,693919.6029639834,6464344.734816613
3569,3569,2020,4,2,14,45,693918.8582303163,6464326.105735175
3570,3570,2020,4,2,15,15,693902.8747717235,6464276.192251972
3571,3571,2020,4,2,15,45,693943.2263948522,6464319.293341199
3572,3572,2020,4,2,16,15,693945.3292058286,6464313.884083496
3573,3573,2020,4,2,16,45,693943.7450102693,6464336.2510184245
3574,3574,2020,4,2,17,15,693932.6150445302,6464318.940194903
3575,3575,2020,4,2,17,45,693925.5822925979,6464319.637885445
3576,3576,2020,4,2,18,15,693939.1031493987,6464301.026170355
3577,3577,2020,4,2,18,45,693938.6089090733,6464313.480433335
3578,3578,2020,4,2,19,15,693933.3550200559,6464308.974552531
3579,3579,2020,4,2,19,45,693938.6973631628,6464311.205797815
3580,3580,2020,4,2,20,15,693964.1168865613,6464278.021179597
3581,3581,2020,4,2,20,45,693971.4133709185,6464288.484132473
3582,3582,2020,4,2,21,15,693985.5732457242,6464286.497658819
3583,3583,2020,4,2,21,45,693991.9452035775,6464287.32913004
3584,3584,2020,4,2,22,15,693982.1387946269,6464276.250136328
3585,3585,2020,4,2,22,45,693983.4655485534,6464313.318739231
3586,3586,2020,4,2,23,15,693966.0169772344,6464263.429454575
3587,3587,2020,4,2,23,45,693986.2639575369,6464311.809851683
3588,3588,2020,4,3,0,15,693979.1735660332,6464281.258468538
3589,3589,2020,4,3,0,45,693975.182829973,6464251.890921578
3590,3590,2020,4,3,1,15,693989.6055890355,6464312.411618537
3591,3591,2020,4,3,1,45,693955.5756475307,6464306.222369291
3592,3592,2020,4,3,2,15,693907.4022857771,6464361.878530638
3593,3593,2020,4,3,2,45,693927.8347655082,6464288.583540627
3594,3594,2020,4,3,3,15,693970.752729735,6464293.394482849
3595,3595,2020,4,3,3,45,693968.4490855597,6464219.694460193
3596,3596,2020,4,3,4,15,693985.7508372605,6464247.102896462
3597,3597,2020,4,3,4,45,694009.48316172,6464282.339390432
3598,3598,2020,4,3,5,15,694002.9027477802,6464285.741745286
3599,3599,2020,4,3,5,45,693986.3070753247,6464249.100315393
3600,3600,2020,4,3,6,15,693983.8203776556,6464304.219826988
3601,3601,2020,4,3,6,45,693984.4914136527,6464333.940082962
3602,3602,2020,4,3,7,15,693970.6045210317,6464298.825431631
3603,3603,2020,4,3,7,45,693963.5131264536,6464290.335659494
3604,3604,2020,4,3,8,15,693974.1010308085,6464299.92281738
3605,3605,2020,4,3,8,45,693903.5967965375,6464348.99190422
3606,3606,2020,4,3,9,15,693944.4376758997,6464317.849227316
3607,3607,2020,4,3,9,45,693942.6248374127,6464302.697917981
3608,3608,2020,4,3,10,15,693937.0254248254,6464308.940636524
3609,3609,2020,4,3,10,45,693924.9875634924,6464334.062362136
3610,3610,2020,4,3,11,15,693923.5003637248,6464338.191196074
3611,3611,2020,4,3,11,45,693911.202450736,6464321.751407825
3612,3612,2020,4,3,12,15,693926.3340923606,6464358.047452311
3613,3613,2020,4,3,12,45,693912.0072238883,6464358.009805052
3614,3614,2020,4,3,13,15,693899.204600417,6464354.237691645
3615,3615,2020,4,3,13,45,693867.8558553017,6464338.928089085
3616,3616,2020,4,3,14,15,693914.3006504813,6464369.986082947
3617,3617,2020,4,3,14,45,693907.5445842778,6464370.369273033
3618,3618,2020,4,3,15,15,693914.0104469715,6464371.007224239
3619,3619,2020,4,3,15,45,693870.5329692619,6464384.395207058
3620,3620,2020,4,3,16,15,693879.1605663338,6464367.395427784
3621,3621,2020,4,3,16,45,693895.3226971091,6464370.974790293
3622,3622,2020,4,3,17,15,693882.3345601571,6464361.471259527
3623,3623,2020,4,3,17,45,693890.7468807688,6464352.106210139
3624,3624,2020,4,3,18,15,693901.3046002738,6464351.491552264
3625,3625,2020,4,3,18,45,693895.1501328405,6464355.936479539
3626,3626,2020,4,3,19,15,693895.8093399641,6464366.663957914
3627,3627,2020,4,3,19,45,693889.9719288737,6464359.862514969
3628,3628,2020,4,3,20,15,693874.3219265497,6464357.537834707
3629,3629,2020,4,3,20,45,693888.2835123587,6464355.941519411
3630,3630,2020,4,3,21,15,693890.0247255057,6464355.114808963
3631,3631,2020,4,3,21,45,693852.6032434845,6464338.888898148
3632,3632,2020,4,3,22,15,693871.4128011116,6464342.624724424
3633,3633,2020,4,3,22,45,693858.8155731887,6464318.226505931
3634,3634,2020,4,3,23,15,693839.9528432167,6464309.460312358
3635,3635,2020,4,3,23,45,693809.8810086808,6464301.517562747
3636,3636,2020,4,4,0,15,693819.073988765,6464305.370207465
3637,3637,2020,4,4,0,45,693825.2893413291,6464290.939729042
3638,3638,2020,4,4,1,15,693851.8273507734,6464301.312541302
3639,3639,2020,4,4,1,45,693790.8475132715,6464243.161498704
3640,3640,2020,4,4,2,45,693834.0489946435,6464319.619610294
3641,3641,2020,4,4,3,15,693783.4532087727,6464310.478163119
3642,3642,2020,4,4,3,45,693714.250566115,6464339.425320717
3643,3643,2020,4,4,4,15,693769.4562313745,6464266.033987342
3644,3644,2020,4,4,4,45,693831.8907018335,6464264.297480645
3645,3645,2020,4,4,5,15,693851.4418748248,6464300.643395687
3646,3646,2020,4,4,5,45,693907.2163975921,6464363.649142076
3647,3647,2020,4,4,6,15,693906.056826475,6464384.957226432
3648,3648,2020,4,4,6,45,693913.256958737,6464388.273067187
3649,3649,2020,4,4,7,15,693926.3987254645,6464404.536947508
3650,3650,2020,4,4,7,45,693866.4259160323,6464413.348535137
3651,3651,2020,4,4,8,15,693850.1590357726,6464397.453463519
3652,3652,2020,4,4,8,45,693871.1953673599,6464419.952704075
3653,3653,2020,4,4,9,15,693878.4823012768,6464411.9222035855
3654,3654,2020,4,4,9,45,693868.6188056294,6464405.50370766
3655,3655,2020,4,4,10,15,693878.9350196054,6464389.26655329
3656,3656,2020,4,4,10,45,693898.3152198946,6464407.860142278
3657,3657,2020,4,4,11,15,693874.87566492,6464410.838406622
3658,3658,2020,4,4,11,45,693890.9304045651,6464378.311840452
3659,3659,2020,4,4,12,15,693894.1946135018,6464389.24094756
3660,3660,2020,4,4,12,45,693912.2540955074,6464428.778402216
3661,3661,2020,4,4,13,15,693880.7736704119,6464440.754494903
3662,3662,2020,4,4,13,45,693892.9328719393,6464440.0927397655
3663,3663,2020,4,4,14,15,693908.1609878043,6464401.133057586
3664,3664,2020,4,4,14,45,693870.7816594396,6464394.585929043
3665,3665,2020,4,4,15,15,693873.4919411909,6464439.066774825
3666,3666,2020,4,4,15,45,693885.8478886415,6464419.671644316
3667,3667,2020,4,4,16,15,693918.3823970266,6464369.428111055
3668,3668,2020,4,4,16,45,693856.650528783,6464348.006451916
3669,3669,2020,4,4,17,15,693758.0617876406,6464268.764520102
3670,3670,2020,4,4,17,45,693815.353666234,6464394.093407431
3671,3671,2020,4,4,19,15,693752.41488964,6464262.951232847
3672,3672,2020,4,4,19,45,693790.1789542543,6464304.727346354
3673,3673,2020,4,4,20,15,693807.1945769498,6464364.980198689
3674,3674,2020,4,4,20,45,693803.6301360566,6464378.541158839
3675,3675,2020,4,4,21,15,693728.0986168036,6464306.832361392
3676,3676,2020,4,4,21,45,693768.6904601263,6464323.878735204
3677,3677,2020,4,4,22,15,693789.2243067726,6464328.8942470495
3678,3678,2020,4,4,22,45,693805.2582495852,6464299.625964506
3679,3679,2020,4,4,23,15,693799.0904292606,6464309.105081622
3680,3680,2020,4,4,23,45,693771.3005207957,6464307.4327401705
3681,3681,2020,4,5,0,45,693724.5724494811,6464306.235779461
3682,3682,2020,4,5,1,45,693716.08565549,6464362.348180763
3683,3683,2020,4,5,2,15,693722.2297903667,6464360.245176545
3684,3684,2020,4,5,2,45,693794.1359605141,6464399.606220527
3685,3685,2020,4,5,3,45,693734.7747507631,6464374.777276432
3686,3686,2020,4,5,4,15,693775.7338343308,6464367.33341859
3687,3687,2020,4,5,4,45,693816.3473408076,6464402.51245791
3688,3688,2020,4,5,5,15,693848.3343190354,6464408.928447546
3689,3689,2020,4,5,5,45,693832.8476012293,6464392.515021365
3690,3690,2020,4,5,6,15,693857.2841544726,6464424.380967721
3691,3691,2020,4,5,6,45,693865.9756457988,6464454.9560970375
3692,3692,2020,4,5,7,15,693891.2626926549,6464448.172748552
3693,3693,2020,4,5,7,45,693932.4066666587,6464467.791078464
3694,3694,2020,4,5,8,15,693917.4659697815,6464480.99042743
3695,3695,2020,4,5,8,45,693903.8805409402,6464484.051111674
3696,3696,2020,4,5,9,15,693913.558131382,6464492.118276774
3697,3697,2020,4,5,9,45,693878.5886936007,6464525.215322101
3698,3698,2020,4,5,10,15,693881.4453190067,6464472.20896464
3699,3699,2020,4,5,10,45,693899.9019827407,6464485.352184612
3700,3700,2020,4,5,11,15,693911.6092624572,6464479.732211195
3701,3701,2020,4,5,11,45,693891.02716265,6464503.102401027
3702,3702,2020,4,5,12,15,693870.100124966,6464501.821495763
3703,3703,2020,4,5,12,45,693914.7694606999,6464468.144853643
3704,3704,2020,4,5,13,15,693897.7286813009,6464486.112688221
3705,3705,2020,4,5,13,45,693919.9079891555,6464487.636299018
3706,3706,2020,4,5,14,15,693899.0330898694,6464498.161200081
3707,3707,2020,4,5,14,45,693842.1391396135,6464547.481613909
3708,3708,2020,4,5,15,15,693858.3608702708,6464540.892710194
3709,3709,2020,4,5,15,45,693893.8884413098,6464544.960365288
3710,3710,2020,4,5,16,15,693987.4784923231,6464565.582951954
3711,3711,2020,4,6,6,45,694011.9747962302,6464312.98766729
3712,3712,2020,4,6,7,45,693972.6329678698,6464318.476580451
3713,3713,2020,4,6,8,15,693977.32621101,6464368.4743748605
3714,3714,2020,4,6,9,15,693954.5327181772,6464395.176956656
3715,3715,2020,4,6,9,45,693910.7656179845,6464382.687895058
3716,3716,2020,4,6,10,15,693914.9611873663,6464427.971304372
3717,3717,2020,4,6,10,45,693825.0101758089,6464373.509022016
3718,3718,2020,4,6,11,15,693875.867589861,6464389.76092378
3719,3719,2020,4,6,11,45,693888.9189372839,6464382.891495561
3720,3720,2020,4,6,12,15,693937.0155063474,6464387.326156176
3721,3721,2020,4,6,12,45,693862.3416466315,6464359.942040009
3722,3722,2020,4,6,13,15,693900.2036185659,6464400.869520897
3723,3723,2020,4,6,13,45,693894.0316095889,6464410.255547047
3724,3724,2020,4,6,14,15,693903.7667081933,6464427.277439633
3725,3725,2020,4,6,14,45,693926.3875610185,6464400.326168153
3726,3726,2020,4,6,15,15,693888.4078911697,6464370.166669457
3727,3727,2020,4,6,15,45,693938.0348985655,6464388.017363344
3728,3728,2020,4,6,16,15,693892.7702864791,6464379.35153894
3729,3729,2020,4,7,4,15,694118.9644365776,6463956.811722802
3730,3730,2020,4,7,4,45,694121.1430593914,6464022.463024412
3731,3731,2020,4,7,5,15,694093.3289758685,6464059.09879851
3732,3732,2020,4,7,5,45,694053.1664473121,6464208.223270752
3733,3733,2020,4,7,6,15,694025.4182704509,6464253.429570409
3734,3734,2020,4,7,6,45,694040.4700321138,6464270.377201383
3735,3735,2020,4,7,7,15,694045.3345550332,6464272.324097952
3736,3736,2020,4,7,7,45,694018.769559115,6464335.003911008
3737,3737,2020,4,7,8,15,694017.5923846029,6464335.994300074
3738,3738,2020,4,7,8,45,693996.7015112077,6464298.817929581
3739,3739,2020,4,7,9,15,694002.8179855944,6464315.230994557
3740,3740,2020,4,7,9,45,693985.7287911392,6464308.881908165
3741,3741,2020,4,7,10,15,693978.0672635993,6464331.294707356
3742,3742,2020,4,7,10,45,693981.5106572744,6464313.033807731
3743,3743,2020,4,7,11,15,693977.9584510619,6464328.74418159
3744,3744,2020,4,7,11,45,693951.5919937221,6464298.631915366
3745,3745,2020,4,7,12,15,693953.2277739214,6464350.057140122
3746,3746,2020,4,7,12,45,693954.732758846,6464303.42440355
3747,3747,2020,4,7,13,15,693943.5745057343,6464307.466892084
3748,3748,2020,4,7,13,45,693948.4284469804,6464358.416834283
3749,3749,2020,4,7,14,15,693946.7927148745,6464302.970025867
3750,3750,2020,4,7,14,45,693941.2902831774,6464321.645140173
3751,3751,2020,4,7,15,15,693931.6355721893,6464328.627051558
3752,3752,2020,4,7,15,45,693897.8588993645,6464361.812105666
3753,3753,2020,4,7,16,15,693902.5754410123,6464380.876621773
3754,3754,2020,4,7,16,45,693872.8783251204,6464364.490342243
3755,3755,2020,4,7,17,15,693866.1414020495,6464393.662548641
3756,3756,2020,4,7,17,45,693892.8344409564,6464366.304963123
3757,3757,2020,4,7,18,15,693841.3479451202,6464410.509240317
3758,3758,2020,4,7,18,45,693867.0143514981,6464394.385297847
3759,3759,2020,4,7,19,15,693877.8952435479,6464394.644206913
3760,3760,2020,4,7,19,45,693868.0982979242,6464381.328309409
3761,3761,2020,4,7,20,15,693881.4563977858,6464385.736196365
3762,3762,2020,4,7,20,45,693885.8737422572,6464383.059482432
3763,3763,2020,4,7,21,15,693888.4365196212,6464404.802478218
3764,3764,2020,4,7,21,45,693860.9783945617,6464416.935689321
3765,3765,2020,4,7,22,15,693867.681867002,6464421.055223714
3766,3766,2020,4,7,22,45,693872.4759366775,6464458.990081211
3767,3767,2020,4,7,23,15,693844.9604227333,6464478.591885934
3768,3768,2020,4,7,23,45,693852.2431805168,6464481.153089799
