,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
6234,6234,2016,8,1,6,45,694176.506877529,6464420.934993673
6235,6235,2016,8,1,7,15,694184.6645982824,6464434.088927953
6236,6236,2016,8,1,7,45,694155.1832468628,6464454.628399323
6237,6237,2016,8,1,8,15,694200.1354265852,6464478.794810054
6238,6238,2016,8,1,9,15,694197.5411516973,6464487.809365919
6239,6239,2016,8,1,10,15,694226.7869378896,6464517.7398600215
6240,6240,2016,8,1,11,15,694161.1675959867,6464560.297956476
6241,6241,2016,8,1,11,45,694110.5719420265,6464606.42134691
6242,6242,2016,8,1,12,15,694109.0917074002,6464590.958868923
6243,6243,2016,8,1,12,45,694127.1317871795,6464606.549966828
6244,6244,2016,8,1,13,15,694172.3787306872,6464591.309442549
6245,6245,2016,8,1,13,45,694159.6674380188,6464513.216304308
6246,6246,2016,8,1,14,15,694131.0913942617,6464438.907528853
6247,6247,2016,8,1,14,45,693966.4495127532,6464509.439707519
6248,6248,2016,8,1,15,15,693932.8513279605,6464607.987261434
6249,6249,2016,8,1,15,45,693931.1458513078,6464595.887436493
6250,6250,2016,8,1,16,15,693881.4978487351,6464542.279087403
6251,6251,2016,8,1,16,45,693909.4747178121,6464578.059736265
6252,6252,2016,8,1,17,15,693886.2320917606,6464542.417195596
6253,6253,2016,8,1,17,45,693789.751256242,6464499.230138283
6254,6254,2016,8,1,18,15,693828.246440454,6464494.962501726
6255,6255,2016,8,1,18,45,693772.4095739968,6464503.903606086
6256,6256,2016,8,1,19,45,693721.9345285326,6464424.193709226
6257,6257,2016,8,2,4,45,693973.4316460674,6464250.337277557
6258,6258,2016,8,2,5,45,693971.5047865018,6464309.609876515
6259,6259,2016,8,2,6,15,693993.5028979998,6464350.19775386
6260,6260,2016,8,2,7,15,693954.2197590353,6464217.063172527
6261,6261,2016,8,2,7,45,693984.1798687021,6464329.060544443
6262,6262,2016,8,2,8,15,693972.1164811066,6464322.436907842
6263,6263,2016,8,2,8,45,693983.2516467129,6464184.355700333
6264,6264,2016,8,2,9,15,693956.1286500467,6464337.751746224
6265,6265,2016,8,2,9,45,693944.7470742974,6464322.501311563
6266,6266,2016,8,2,10,15,693972.4859576756,6464338.136492151
6267,6267,2016,8,2,10,45,693951.9016906195,6464283.463591004
6268,6268,2016,8,2,11,15,693924.3376373593,6464282.038584178
6269,6269,2016,8,2,11,45,693993.6530057426,6464341.653902469
6270,6270,2016,8,2,12,15,693936.7282993215,6464375.661134508
6271,6271,2016,8,2,12,45,693826.3971260203,6464312.541377792
6272,6272,2016,8,2,14,45,694011.3138729454,6464346.856898217
6273,6273,2016,8,2,15,15,694038.9187134065,6464252.525622827
6274,6274,2016,8,3,5,15,693893.3430633597,6464459.543963486
6275,6275,2016,8,3,7,45,694053.4746864164,6464452.721805685
6276,6276,2016,8,3,10,15,694155.1850073491,6464391.313511496
6277,6277,2016,8,3,10,45,693940.7273991522,6464409.812168974
6278,6278,2016,8,3,12,15,694112.5993351362,6464424.799008692
6279,6279,2016,8,3,12,45,694154.5585378165,6464439.477634525
6280,6280,2016,8,3,13,15,694250.5847465859,6464438.75783557
6281,6281,2016,8,3,14,15,694065.3581864927,6464582.759812295
6282,6282,2016,8,3,14,45,694132.2915424742,6464544.385432824
6283,6283,2016,8,3,15,15,694137.1416263324,6464444.265353838
6284,6284,2016,8,3,15,45,694166.8167228678,6464403.715433049
6285,6285,2016,8,4,5,15,694092.0239894387,6464218.734458754
6286,6286,2016,8,4,5,45,694138.0464509814,6464306.09676256
6287,6287,2016,8,4,6,15,694107.4221049963,6464306.07665612
6288,6288,2016,8,4,6,45,694083.4652376557,6464347.285564129
6289,6289,2016,8,4,7,15,694091.4869696472,6464306.435922194
6290,6290,2016,8,4,7,45,694086.8107431366,6464324.28801133
6291,6291,2016,8,4,8,15,694080.0632982573,6464295.654743176
6292,6292,2016,8,4,8,45,694073.1671222016,6464316.567070445
6293,6293,2016,8,4,9,15,694068.1057378401,6464276.472109004
6294,6294,2016,8,4,9,45,694086.2589138164,6464243.565623394
6295,6295,2016,8,4,10,15,694056.5739752371,6464220.863869665
6296,6296,2016,8,4,10,45,694143.8208640125,6464259.6760683125
6297,6297,2016,8,4,11,15,694200.583463579,6464251.237267821
6298,6298,2016,8,4,11,45,694153.8900895789,6464304.184122286
6299,6299,2016,8,4,12,15,694102.7995197172,6464318.319242061
6300,6300,2016,8,4,12,45,694086.0314637664,6464316.003932888
6301,6301,2016,8,4,13,15,694087.4858422526,6464299.986656025
6302,6302,2016,8,4,13,45,694094.9602273651,6464323.668023828
6303,6303,2016,8,4,14,15,694079.0818258226,6464308.1725117285
6304,6304,2016,8,4,14,45,694046.7065341205,6464259.66512546
6305,6305,2016,8,4,15,15,694003.6988522338,6464291.49344239
6306,6306,2016,8,4,15,45,694014.0870323487,6464258.83726413
6307,6307,2016,8,4,16,15,694013.0601583562,6464268.434158281
6308,6308,2016,8,4,17,15,694043.9095660015,6464231.033944024
6309,6309,2016,8,4,17,45,694046.590423123,6464221.09200737
6310,6310,2016,8,4,18,45,694085.4435249525,6464137.095583345
6311,6311,2016,8,4,19,15,694058.6856588463,6464139.527407148
6312,6312,2016,8,4,19,45,694057.8932629582,6464150.634867087
6313,6313,2016,8,4,20,15,694055.3705028614,6464167.933338518
6314,6314,2016,8,4,20,45,694026.7732070556,6464146.394520362
6315,6315,2016,8,4,21,45,693967.6277762721,6464199.35884694
6316,6316,2016,8,5,6,15,694113.3498946705,6464231.272710829
6317,6317,2016,8,5,7,15,694143.2223603135,6464307.220361417
6318,6318,2016,8,5,7,45,694150.8839082347,6464340.5415959405
6319,6319,2016,8,5,8,15,694083.6135674578,6464321.365745899
6320,6320,2016,8,5,8,45,693994.359432429,6464410.319685567
6321,6321,2016,8,5,9,15,693926.7759624398,6464466.73868201
6322,6322,2016,8,5,10,15,694024.189924664,6464461.47383696
6323,6323,2016,8,5,10,45,694048.1282759779,6464463.414295525
6324,6324,2016,8,5,12,45,693963.53628424,6464411.588996915
6325,6325,2016,8,5,13,15,693921.5504423993,6464387.206696592
6326,6326,2016,8,5,13,45,693944.0733820122,6464363.216406212
6327,6327,2016,8,5,14,15,693927.1758457036,6464362.153116097
6328,6328,2016,8,5,14,45,693900.7441087001,6464389.850431151
