,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
11148,11148,2020,12,1,1,45,693971.0292278616,6464154.048151994
11149,11149,2020,12,1,2,15,693955.441132155,6464252.133528923
11150,11150,2020,12,1,2,45,693961.9671084608,6464285.107745225
11151,11151,2020,12,1,3,15,693961.921624552,6464225.362239906
11152,11152,2020,12,1,3,45,693969.9495329137,6464252.868239727
11153,11153,2020,12,1,4,15,693959.9343508659,6464281.391824555
11154,11154,2020,12,1,4,45,693939.7164709814,6464256.227610354
11155,11155,2020,12,1,5,15,693949.6562087139,6464261.123557816
11156,11156,2020,12,1,5,45,693990.0574234942,6464215.740658206
11157,11157,2020,12,1,6,15,694002.9686417151,6464219.862271683
11158,11158,2020,12,1,6,45,693984.8807448804,6464220.789676444
11159,11159,2020,12,1,7,15,693969.9818033478,6464195.832931304
11160,11160,2020,12,1,7,45,693964.6030826344,6464239.042905119
11161,11161,2020,12,1,8,15,693971.5338252021,6464256.883400821
11162,11162,2020,12,1,8,45,693998.1500022588,6464174.397158684
11163,11163,2020,12,1,9,15,693981.4924748243,6464229.757117513
11164,11164,2020,12,1,9,45,693998.427518025,6464265.350406198
11165,11165,2020,12,1,10,15,693999.4769202608,6464292.793681341
11166,11166,2020,12,1,10,45,694002.2042249948,6464279.534240504
11167,11167,2020,12,1,11,15,693986.8323176961,6464168.153775762
11168,11168,2020,12,1,11,45,693994.4291134095,6464271.892889689
11169,11169,2020,12,1,12,15,693981.3277899524,6464229.282868574
11170,11170,2020,12,1,13,15,693979.7693851953,6464256.613678474
11171,11171,2020,12,1,13,45,693966.9718143241,6464237.250280982
11172,11172,2020,12,1,14,15,693954.819524546,6464199.101211322
11173,11173,2020,12,1,14,45,693975.1719586991,6464280.021947777
11174,11174,2020,12,1,15,15,693970.5826681304,6464260.872855237
11175,11175,2020,12,1,15,45,693937.6206332897,6464203.095077406
11176,11176,2020,12,1,16,15,693954.8222333418,6464256.916406129
11177,11177,2020,12,1,16,45,693953.2422630364,6464222.700168401
11178,11178,2020,12,1,17,15,693955.2766739888,6464250.510988006
11179,11179,2020,12,1,17,45,693921.9046095663,6464213.884376221
11180,11180,2020,12,1,18,15,693930.6739044242,6464268.233784944
11181,11181,2020,12,1,18,45,693938.3160273057,6464286.834537423
11182,11182,2020,12,1,19,15,693937.8779168709,6464261.237446473
11183,11183,2020,12,1,19,45,693958.207880198,6464242.581979338
11184,11184,2020,12,1,20,15,693972.2045054487,6464225.857677056
11185,11185,2020,12,1,20,45,694015.6559951274,6464165.252213034
11186,11186,2020,12,1,21,15,694021.5484334597,6464161.529133592
11187,11187,2020,12,1,21,45,694016.0194531179,6464207.943184324
11188,11188,2020,12,1,22,15,694014.8889777833,6464253.575673414
11189,11189,2020,12,1,22,45,694019.6910125475,6464266.388110269
11190,11190,2020,12,1,23,15,693998.862898262,6464243.299821086
11191,11191,2020,12,1,23,45,694010.999672768,6464185.81178376
11192,11192,2020,12,2,2,15,694211.9296030761,6464272.612923658
11193,11193,2020,12,2,2,45,694196.4995440035,6464310.362787317
11194,11194,2020,12,2,3,15,694186.9539288977,6464277.4361955095
11195,11195,2020,12,2,3,45,694145.2409447621,6464255.785476821
11196,11196,2020,12,2,4,15,694087.1667354727,6464319.035703841
11197,11197,2020,12,2,4,45,694084.9649949854,6464306.71145522
11198,11198,2020,12,2,5,15,694072.6746891323,6464320.365185827
11199,11199,2020,12,2,5,45,694117.279042324,6464260.379582614
11200,11200,2020,12,2,6,15,694103.4805207232,6464298.852393309
11201,11201,2020,12,2,6,45,694097.8199596872,6464287.544292921
11202,11202,2020,12,2,7,15,694114.4253592793,6464273.244580472
11203,11203,2020,12,2,7,45,694076.4608380322,6464349.035271452
11204,11204,2020,12,2,8,15,694078.1912077302,6464328.638537372
11205,11205,2020,12,2,8,45,694105.4459563341,6464312.856940579
11206,11206,2020,12,2,9,15,694074.00162132,6464297.383697283
11207,11207,2020,12,2,9,45,694084.0979687001,6464307.767170023
