,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
0,0,2015,1,1,0,15,693839.0108905275,6464331.0668466855
1,1,2015,1,1,0,45,693784.2912634584,6464325.443513599
2,2,2015,1,1,1,15,693825.1422614224,6464378.411027813
3,3,2015,1,1,1,45,693865.6699864463,6464390.733947711
4,4,2015,1,1,2,15,693853.4813899455,6464380.583283137
5,5,2015,1,1,2,45,693875.1525141114,6464362.802020569
6,6,2015,1,1,3,15,693861.0613161398,6464338.268672021
7,7,2015,1,1,3,45,693868.3560116886,6464360.773780377
8,8,2015,1,1,4,15,693860.11344872,6464356.340864044
9,9,2015,1,1,4,45,693847.7843616612,6464337.656617256
10,10,2015,1,1,5,15,693859.1483925799,6464350.586475952
11,11,2015,1,1,5,45,693858.3638981914,6464350.625874053
12,12,2015,1,1,6,15,693868.8019072656,6464353.265375352
13,13,2015,1,1,6,45,693867.3454910911,6464347.681962375
14,14,2015,1,1,7,15,693874.4102245044,6464350.848339995
15,15,2015,1,1,7,45,693843.204526013,6464347.381506875
16,16,2015,1,1,8,15,693831.9195706483,6464340.630713697
17,17,2015,1,1,8,45,693842.2263675106,6464304.278439692
18,18,2015,1,1,9,15,693819.0292205517,6464299.73697646
19,19,2015,1,1,9,45,693870.9952345014,6464325.53318323
20,20,2015,1,1,10,15,693890.5565020972,6464341.058151158
21,21,2015,1,1,10,45,693892.6588142748,6464351.565298412
22,22,2015,1,1,11,15,693880.4746370876,6464354.3270394495
23,23,2015,1,1,11,45,693891.1324353911,6464360.589927074
24,24,2015,1,1,12,15,693869.5499616299,6464364.616055355
25,25,2015,1,1,12,45,693888.1434890776,6464348.403437641
26,26,2015,1,1,13,15,693876.5272152602,6464358.511091773
27,27,2015,1,1,13,45,693889.7764150879,6464374.091463024
28,28,2015,1,1,14,15,693889.1213114522,6464376.581227791
29,29,2015,1,1,14,45,693881.2832153311,6464361.63117377
30,30,2015,1,1,15,15,693873.3941906808,6464359.162062384
31,31,2015,1,1,15,45,693889.262201123,6464364.94089354
32,32,2015,1,1,16,15,693907.312305125,6464377.290698984
33,33,2015,1,1,16,45,693897.6066670936,6464357.162684697
34,34,2015,1,1,17,15,693906.1828282666,6464363.413433563
35,35,2015,1,1,17,45,693883.61740753,6464346.3373809615
36,36,2015,1,1,18,15,693883.9815899235,6464348.543750266
37,37,2015,1,1,18,45,693880.227079033,6464348.563312787
38,38,2015,1,1,19,15,693881.4301057579,6464350.859438996
39,39,2015,1,1,19,45,693868.6911013732,6464332.910834873
40,40,2015,1,1,20,15,693892.1165603355,6464342.54624646
41,41,2015,1,1,20,45,693886.467599729,6464343.771458719
42,42,2015,1,1,21,15,693881.649780323,6464347.117047295
43,43,2015,1,1,21,45,693900.3673419808,6464350.460731466
44,44,2015,1,1,22,15,693902.0609662902,6464341.365967837
45,45,2015,1,1,22,45,693904.2856673512,6464340.864231645
46,46,2015,1,1,23,15,693879.8043925707,6464325.797935158
47,47,2015,1,1,23,45,693892.6964833038,6464349.726023823
48,48,2015,1,2,0,15,693901.0492300488,6464354.28537113
49,49,2015,1,2,0,45,693869.0100503176,6464334.399858557
50,50,2015,1,2,1,15,693878.8995825214,6464348.626746791
51,51,2015,1,2,1,45,693878.8973157447,6464336.506029704
52,52,2015,1,2,2,15,693904.1780696101,6464348.213675981
53,53,2015,1,2,2,45,693903.4063064939,6464332.249844785
54,54,2015,1,2,3,15,693913.5633018411,6464312.120672706
55,55,2015,1,2,3,45,693915.1749858088,6464288.214342012
56,56,2015,1,2,4,15,693915.82078341,6464289.305689142
57,57,2015,1,2,4,45,693900.9894801646,6464324.076322506
58,58,2015,1,2,5,15,693927.7216407533,6464314.851468219
59,59,2015,1,2,5,45,693930.0792085949,6464290.782834861
60,60,2015,1,2,6,15,693948.9760872279,6464274.435114254
61,61,2015,1,2,6,45,693965.9848554134,6464290.8508075485
62,62,2015,1,2,7,15,693982.0273985409,6464279.5382357165
63,63,2015,1,2,7,45,693983.136196874,6464255.295130399
64,64,2015,1,2,8,15,693987.4406586621,6464276.846927516
65,65,2015,1,2,8,45,693998.3729275049,6464259.741362632
66,66,2015,1,2,9,15,694013.1753368342,6464266.275118365
67,67,2015,1,2,9,45,693981.6957993159,6464280.44102459
68,68,2015,1,2,10,15,693984.777552476,6464281.306752389
69,69,2015,1,2,10,45,693990.2538176025,6464298.6571580665
70,70,2015,1,2,11,15,693984.7413951273,6464260.599584821
71,71,2015,1,2,11,45,693987.7890250151,6464270.601972883
72,72,2015,1,2,12,15,693983.89497785,6464259.461958005
73,73,2015,1,2,12,45,693961.3944966181,6464248.9304748
74,74,2015,1,2,13,15,693949.9497340445,6464258.287439069
75,75,2015,1,2,13,45,693941.7445467538,6464244.330247355
76,76,2015,1,2,14,15,693954.1269391029,6464284.477511309
77,77,2015,1,2,14,45,693955.7273565616,6464289.182355397
78,78,2015,1,2,15,15,693954.7439544334,6464305.090036962
79,79,2015,1,2,15,45,693949.5590326397,6464293.200732402
80,80,2015,1,2,16,15,693944.7213869634,6464292.551795286
81,81,2015,1,2,16,45,693930.3654658641,6464276.491801468
82,82,2015,1,2,17,15,693909.3083380904,6464317.66925041
83,83,2015,1,2,17,45,693892.2572462467,6464357.321683728
84,84,2015,1,2,18,15,693877.3968672536,6464374.956351207
85,85,2015,1,2,18,45,693880.597075554,6464407.98148569
86,86,2015,1,2,19,15,693853.4844341029,6464441.59305233
87,87,2015,1,2,19,45,693865.8694684196,6464414.743679728
88,88,2015,1,2,20,15,693867.2602720641,6464400.362384142
89,89,2015,1,2,20,45,693877.6193132101,6464403.16640682
90,90,2015,1,2,21,15,693876.9244644315,6464389.640633722
91,91,2015,1,2,21,45,693879.1287859107,6464382.883544226
92,92,2015,1,2,22,15,693880.4748483197,6464368.132246737
93,93,2015,1,2,22,45,693888.7619131085,6464379.133372841
94,94,2015,1,2,23,15,693875.9174522399,6464372.576223324
95,95,2015,1,2,23,45,693875.076313909,6464367.575200106
96,96,2015,1,3,0,15,693888.3164749007,6464379.638594198
97,97,2015,1,3,0,45,693880.0487344228,6464368.5697213765
98,98,2015,1,3,1,15,693900.5036408465,6464381.008655774
99,99,2015,1,3,1,45,693874.8284503127,6464366.329054953
100,100,2015,1,3,2,15,693903.6414068094,6464365.027911811
101,101,2015,1,3,2,45,693905.5032129268,6464355.255278172
102,102,2015,1,3,3,15,693887.3326005212,6464355.04754506
103,103,2015,1,3,3,45,693909.6794233299,6464383.158605315
104,104,2015,1,3,4,15,693893.6167374012,6464368.9790844405
105,105,2015,1,3,4,45,693864.4035290286,6464353.213940067
106,106,2015,1,3,5,15,693890.5871618177,6464372.547488948
107,107,2015,1,3,5,45,693886.1473352154,6464368.805974609
108,108,2015,1,3,6,15,693890.1044740211,6464375.169305451
109,109,2015,1,3,6,45,693875.3697414785,6464366.002618725
110,110,2015,1,3,7,15,693899.6294346476,6464379.503602208
111,111,2015,1,3,7,45,693897.1114021444,6464377.490048507
112,112,2015,1,3,8,15,693889.8511128157,6464363.796772471
113,113,2015,1,3,8,45,693880.072355912,6464364.901864481
114,114,2015,1,3,9,15,693908.3229802964,6464383.965383684
115,115,2015,1,3,9,45,693888.0737681924,6464377.046240324
116,116,2015,1,3,10,15,693888.6481729868,6464379.003508679
117,117,2015,1,3,10,45,693882.7768976262,6464382.30556041
118,118,2015,1,3,11,15,693883.3259897688,6464379.50360393
119,119,2015,1,3,11,45,693897.9315176123,6464382.237636046
120,120,2015,1,3,12,15,693885.5939850562,6464382.496977102
121,121,2015,1,3,12,45,693868.4965179331,6464378.842912965
122,122,2015,1,3,13,15,693896.3112599244,6464390.964489222
123,123,2015,1,3,13,45,693860.4554482488,6464375.895716476
124,124,2015,1,3,14,15,693880.2694100279,6464391.080676526
125,125,2015,1,3,14,45,693873.294630499,6464389.104965773
126,126,2015,1,3,15,15,693891.0010189125,6464395.431260852
127,127,2015,1,3,15,45,693867.3665310456,6464381.355881775
128,128,2015,1,3,16,15,693874.8858069124,6464388.1764907455
129,129,2015,1,3,16,45,693887.168089603,6464395.417498624
130,130,2015,1,3,17,15,693898.4883171808,6464397.09039401
131,131,2015,1,3,17,45,693860.0191685943,6464397.048008034
132,132,2015,1,3,18,15,693856.8313914165,6464399.842209692
133,133,2015,1,3,18,45,693861.6082456332,6464404.947514102
134,134,2015,1,3,19,15,693837.6519999711,6464402.169968949
135,135,2015,1,3,19,45,693866.2047692884,6464415.236495549
136,136,2015,1,3,20,15,693858.7173876793,6464422.935167634
137,137,2015,1,3,20,45,693850.1648010954,6464413.615563346
138,138,2015,1,3,21,15,693870.6346405686,6464423.4158108095
139,139,2015,1,3,21,45,693870.1721725301,6464422.916431014
140,140,2015,1,3,22,15,693874.0751563268,6464429.812914558
141,141,2015,1,3,22,45,693864.5394455715,6464428.24546701
142,142,2015,1,3,23,15,693867.2295202597,6464429.8128401125
143,143,2015,1,3,23,45,693849.1691554056,6464432.222996635
144,144,2015,1,4,0,15,693853.7524180218,6464440.253846275
145,145,2015,1,4,0,45,693839.9770012712,6464447.783788134
146,146,2015,1,4,1,15,693876.2487418998,6464449.6178229805
147,147,2015,1,4,1,45,693863.7769375244,6464457.402701063
148,148,2015,1,4,2,15,693881.1148607157,6464544.423201194
149,149,2015,1,4,2,45,693876.4794810343,6464505.6852976885
150,150,2015,1,4,3,15,693843.8904242174,6464537.835782377
151,151,2015,1,4,3,45,693876.7574443102,6464538.647328008
152,152,2015,1,4,4,15,693901.4447128386,6464565.015135065
153,153,2015,1,4,4,45,693870.0212880464,6464583.832387381
154,154,2015,1,4,5,15,693878.7735173589,6464574.276285989
155,155,2015,1,4,5,45,693913.1324402991,6464545.389382385
156,156,2015,1,4,6,15,693894.9487637441,6464570.124184033
157,157,2015,1,4,6,45,693907.0550492239,6464551.317900482
158,158,2015,1,4,7,15,693880.4493507758,6464556.235648942
159,159,2015,1,4,7,45,693861.3651472067,6464568.189610994
160,160,2015,1,4,8,15,693878.2858092374,6464560.891550617
161,161,2015,1,4,8,45,693901.2306145951,6464571.779376575
162,162,2015,1,4,9,15,693897.0418857255,6464581.556149846
163,163,2015,1,4,9,45,693938.6542507567,6464581.659105954
164,164,2015,1,4,10,15,693931.4943693463,6464596.599177663
165,165,2015,1,4,10,45,693947.6884218366,6464563.246286999
166,166,2015,1,4,11,15,693923.5682036205,6464590.898759683
167,167,2015,1,4,11,45,693931.8674778524,6464579.138082313
168,168,2015,1,4,12,15,693910.1409819183,6464593.606507316
169,169,2015,1,4,12,45,693947.7774094768,6464585.262679116
170,170,2015,1,4,13,15,693920.8251411038,6464587.754060498
171,171,2015,1,4,13,45,693963.2024962909,6464573.392733868
172,172,2015,1,4,14,15,693914.2234279684,6464615.272400681
173,173,2015,1,4,14,45,693917.296486204,6464570.833249931
174,174,2015,1,4,15,15,693923.8862904718,6464570.096630925
175,175,2015,1,4,15,45,693918.8698766418,6464615.980239023
176,176,2015,1,4,16,15,693920.6748990945,6464591.058471928
177,177,2015,1,4,16,45,693943.4958546228,6464571.891124083
178,178,2015,1,4,17,15,693947.6136625981,6464572.953202219
179,179,2015,1,4,17,45,693928.9680993475,6464604.943828743
180,180,2015,1,4,18,15,693936.6291926827,6464612.010637359
181,181,2015,1,4,18,45,693920.8702054868,6464579.703103629
182,182,2015,1,4,19,15,693932.3684435821,6464564.86702472
183,183,2015,1,4,19,45,693924.5714459432,6464580.611330904
184,184,2015,1,4,20,15,693928.7669493068,6464570.846231345
185,185,2015,1,4,20,45,693929.6766927787,6464558.167483049
186,186,2015,1,4,21,15,693915.4588599347,6464571.129941218
187,187,2015,1,4,21,45,693931.3522116716,6464543.463805701
188,188,2015,1,4,22,15,693930.4554409232,6464558.645382269
189,189,2015,1,4,22,45,693931.8923288994,6464569.301221824
190,190,2015,1,4,23,15,693916.3154894109,6464572.880894445
191,191,2015,1,4,23,45,693916.9933152762,6464537.279044965
192,192,2015,1,5,0,15,693915.5385755129,6464623.780343349
193,193,2015,1,5,0,45,693948.9113247605,6464578.642481195
194,194,2015,1,5,1,15,693912.2460177734,6464607.468021396
195,195,2015,1,5,1,45,693946.531236207,6464599.034774834
196,196,2015,1,5,2,15,693920.3653499134,6464589.868801212
197,197,2015,1,5,2,45,693966.2783792287,6464586.476499673
198,198,2015,1,5,3,15,693983.9350043316,6464570.952865756
199,199,2015,1,5,3,45,693991.3362869305,6464573.864587449
200,200,2015,1,5,4,15,694002.7457393517,6464601.408875114
201,201,2015,1,5,4,45,694014.5971580361,6464565.671915774
202,202,2015,1,5,5,15,694023.9462365065,6464572.211391775
203,203,2015,1,5,5,45,694025.82438279,6464611.622433966
204,204,2015,1,5,6,15,694018.2709250086,6464589.970766396
205,205,2015,1,5,6,45,694021.4265428098,6464576.561133694
206,206,2015,1,5,7,15,694030.1073164761,6464568.819719063
207,207,2015,1,5,7,45,694043.9006834693,6464597.035956845
208,208,2015,1,5,8,15,694034.0310211278,6464587.28452378
209,209,2015,1,5,8,45,694034.3263159893,6464603.264958824
210,210,2015,1,5,9,15,694022.9737802398,6464588.135939321
211,211,2015,1,5,9,45,694021.8537941966,6464591.520789722
212,212,2015,1,5,10,15,694013.4596040626,6464597.264370628
213,213,2015,1,5,10,45,694020.806091608,6464574.324592925
214,214,2015,1,5,11,15,694033.573586784,6464595.796000824
215,215,2015,1,5,11,45,694019.4553388498,6464596.034209582
216,216,2015,1,5,12,15,694029.7828139518,6464583.060289783
217,217,2015,1,5,12,45,694040.3106946561,6464594.202867415
218,218,2015,1,5,13,15,694020.0718864988,6464589.297243658
219,219,2015,1,5,13,45,694015.7621634312,6464580.3455988895
220,220,2015,1,5,14,15,694013.9484162634,6464599.683225385
221,221,2015,1,5,14,45,694028.4910981071,6464585.412013264
222,222,2015,1,5,15,15,694027.1864435646,6464594.98189017
223,223,2015,1,5,15,45,694044.5294282975,6464595.501040304
224,224,2015,1,5,16,15,694050.6909027135,6464578.751613049
225,225,2015,1,5,16,45,694054.899430386,6464597.948552402
226,226,2015,1,5,17,15,694077.9335085483,6464610.607283062
227,227,2015,1,5,17,45,694081.9062588967,6464637.880785212
228,228,2015,1,5,18,15,694043.7753430534,6464565.202890628
229,229,2015,1,5,18,45,694037.6097543038,6464589.624676368
230,230,2015,1,5,19,15,694047.4068403065,6464591.887368459
231,231,2015,1,5,19,45,694033.0177210901,6464587.186509199
232,232,2015,1,5,20,15,694037.3982423153,6464609.659965738
233,233,2015,1,5,20,45,694037.2971041172,6464597.0058793295
234,234,2015,1,5,21,15,694038.4743347429,6464593.438619216
235,235,2015,1,5,21,45,694041.8839053736,6464604.518071689
236,236,2015,1,5,22,15,694048.410486482,6464595.823696344
237,237,2015,1,5,22,45,694035.299154727,6464615.158561337
238,238,2015,1,5,23,15,694063.1375728203,6464658.296669749
239,239,2015,1,5,23,45,694055.0718626478,6464675.863651846
240,240,2015,1,6,0,15,694071.7968642536,6464628.651998198
241,241,2015,1,6,0,45,694084.022202718,6464595.508830936
242,242,2015,1,6,1,15,694114.7150206679,6464609.843239727
243,243,2015,1,6,1,45,694111.9502291676,6464621.44924887
244,244,2015,1,6,9,45,693836.9298961906,6464514.382701791
245,245,2015,1,6,10,15,693841.4624685298,6464521.9805566445
246,246,2015,1,6,10,45,693837.3186642624,6464522.913195818
247,247,2015,1,6,11,15,693875.1602715042,6464499.961447955
248,248,2015,1,6,11,45,693841.9703838755,6464520.669953689
249,249,2015,1,6,12,15,693867.3249324114,6464515.83280282
250,250,2015,1,6,12,45,693822.7195933934,6464500.444687321
251,251,2015,1,6,13,15,693791.2139714704,6464494.791270577
252,252,2015,1,6,13,45,693809.2187014482,6464485.372725737
253,253,2015,1,6,15,15,693736.1495533114,6464433.830015678
254,254,2015,1,6,19,15,693711.8913976207,6464410.810941588
255,255,2015,1,7,7,45,693995.890163434,6464078.49419308
256,256,2015,1,7,8,15,694002.6887941618,6464149.437298787
257,257,2015,1,7,8,45,693995.7577815786,6464200.498533789
258,258,2015,1,7,9,15,693989.9906822422,6464249.972318076
259,259,2015,1,7,9,45,693982.0174813713,6464251.994240174
260,260,2015,1,7,10,15,694000.3050582,6464286.259477055
261,261,2015,1,7,10,45,694006.473146044,6464264.388043699
262,262,2015,1,7,11,15,694013.2150695905,6464214.065474477
263,263,2015,1,7,11,45,694004.7893949663,6464256.292665465
264,264,2015,1,7,12,15,694014.8039872398,6464212.003818992
265,265,2015,1,7,12,45,694021.1937580254,6464181.966590135
266,266,2015,1,7,13,15,694045.7412654225,6464080.227806838
267,267,2015,1,7,13,45,694040.0903491073,6464152.007342531
268,268,2015,1,7,14,15,694063.008875396,6464141.89509104
269,269,2015,1,7,14,45,694083.5110326565,6464159.105079757
270,270,2015,1,7,15,15,694066.6918934213,6464178.074026193
271,271,2015,1,7,15,45,694042.216772497,6464176.546735034
272,272,2015,1,7,16,15,694031.8305269871,6464232.374650317
273,273,2015,1,7,16,45,694022.9466741905,6464198.595001158
274,274,2015,1,7,17,15,694029.0458188155,6464221.333225091
275,275,2015,1,7,17,45,694034.4741407811,6464215.7164026
276,276,2015,1,7,18,15,694045.4217758984,6464190.588337708
277,277,2015,1,7,18,45,694032.0859328512,6464243.742030711
278,278,2015,1,7,19,15,694043.8715559999,6464221.121053972
279,279,2015,1,7,19,45,694044.7839991148,6464212.974615043
280,280,2015,1,7,20,15,694045.3934123104,6464195.828023149
281,281,2015,1,7,20,45,694035.3729947916,6464179.2625020975
282,282,2015,1,7,21,15,694008.5973369906,6464234.090497631
283,283,2015,1,7,21,45,693982.9437973477,6464215.393819793
284,284,2015,1,7,23,15,694089.4031188148,6464172.991651765
285,285,2015,1,7,23,45,694058.1433391433,6464132.750711561
286,286,2015,1,8,0,15,694066.7344807583,6464114.185086447
