,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
5245,5245,2016,7,1,9,15,694196.2410725604,6464387.256448036
5246,5246,2016,7,1,9,45,694288.5444088468,6464414.402839702
5247,5247,2016,7,1,10,15,694228.3587818141,6464427.831934139
5248,5248,2016,7,1,10,45,694151.1975236137,6464420.026617594
5249,5249,2016,7,1,11,15,694177.1319495027,6464370.442124599
5250,5250,2016,7,1,11,45,694141.0137852087,6464309.274333329
5251,5251,2016,7,1,12,15,694124.9121541668,6464282.393378703
5252,5252,2016,7,1,12,45,694089.9619785239,6464322.74537271
5253,5253,2016,7,1,13,15,694088.036273585,6464256.920893817
5254,5254,2016,7,1,13,45,694049.4932775813,6464311.659795659
5255,5255,2016,7,1,14,15,694024.024312581,6464346.942591722
5256,5256,2016,7,1,14,45,693996.1094521935,6464338.834705841
5257,5257,2016,7,1,15,15,694069.0963335667,6464354.830914198
5258,5258,2016,7,1,15,45,694052.1329873808,6464317.174001977
5259,5259,2016,7,1,17,15,694056.1296829771,6464260.610931093
5260,5260,2016,7,1,17,45,694100.2818425603,6464300.949935871
5261,5261,2016,7,2,5,15,694112.5505563276,6464390.257374127
5262,5262,2016,7,2,5,45,694108.1174195581,6464399.100294241
5263,5263,2016,7,2,6,15,694109.050178229,6464384.786510593
5264,5264,2016,7,2,6,45,694166.5133965279,6464358.165337719
5265,5265,2016,7,2,7,15,694148.342807058,6464392.801028757
5266,5266,2016,7,2,7,45,694158.5080368121,6464400.324596174
5267,5267,2016,7,2,8,15,694154.8539337908,6464411.486143596
5268,5268,2016,7,2,8,45,694089.4054762111,6464407.104470787
5269,5269,2016,7,2,9,15,694075.7097979835,6464402.260927083
5270,5270,2016,7,2,9,45,694119.6394620965,6464403.243349818
5271,5271,2016,7,2,10,15,694142.7173279412,6464392.745088002
5272,5272,2016,7,2,10,45,694134.9300218851,6464394.037372377
5273,5273,2016,7,2,11,15,694170.2476423436,6464374.915192541
5274,5274,2016,7,2,11,45,694158.7048378863,6464388.883601859
5275,5275,2016,7,2,12,15,694162.822663438,6464420.146774672
5276,5276,2016,7,2,12,45,694152.3117611328,6464429.907763431
5277,5277,2016,7,2,13,15,694147.4367383536,6464420.357958006
5278,5278,2016,7,2,13,45,694147.7753630021,6464399.300806987
5279,5279,2016,7,2,14,15,694147.8293850799,6464403.882883488
5280,5280,2016,7,2,14,45,694155.3472636938,6464402.332687387
5281,5281,2016,7,2,15,15,694181.5020932964,6464396.928447145
5282,5282,2016,7,2,15,45,694154.259460035,6464395.714686835
5283,5283,2016,7,2,16,15,694172.0713083951,6464386.887994743
5284,5284,2016,7,2,16,45,694156.6350019024,6464387.23062669
5285,5285,2016,7,2,17,15,694177.2499116624,6464376.107226508
5286,5286,2016,7,2,17,45,694174.332752059,6464366.122324172
5287,5287,2016,7,2,18,15,694184.2369048817,6464349.457152804
5288,5288,2016,7,2,18,45,694209.4123835431,6464339.607134072
5289,5289,2016,7,2,19,15,694275.1243609209,6464338.692413311
5290,5290,2016,7,2,19,45,694307.5438771022,6464311.552368761
5291,5291,2016,7,2,20,15,694292.7070995463,6464326.767487862
5292,5292,2016,7,2,20,45,694268.1391729849,6464348.09729248
5293,5293,2016,7,2,21,15,694250.584659766,6464354.707493774
5294,5294,2016,7,2,21,45,694231.7222684479,6464362.751589398
5295,5295,2016,7,2,22,15,694185.2871070473,6464374.101567225
5296,5296,2016,7,2,22,45,694223.2359194992,6464358.162797796
5297,5297,2016,7,2,23,15,694220.3625813704,6464351.038462341
5298,5298,2016,7,2,23,45,694215.7729090191,6464348.787449824
5299,5299,2016,7,3,0,15,694238.9836877137,6464337.541603089
5300,5300,2016,7,3,0,45,694242.256272625,6464348.483701479
5301,5301,2016,7,3,1,15,694239.9247492325,6464349.055855277
5302,5302,2016,7,3,1,45,694226.5078174379,6464345.722150877
5303,5303,2016,7,3,2,15,694194.8495279246,6464340.975343104
5304,5304,2016,7,3,2,45,694179.9943417715,6464349.2159060165
5305,5305,2016,7,3,3,15,694109.7937782237,6464326.445447696
5306,5306,2016,7,3,3,45,694047.4939721143,6464349.433163322
5307,5307,2016,7,3,4,45,694127.5838308559,6464387.335583754
5308,5308,2016,7,3,5,15,694110.3278834783,6464405.015906914
5309,5309,2016,7,3,5,45,694125.9355646385,6464385.489654752
5310,5310,2016,7,3,6,15,694112.9852929122,6464323.913244126
5311,5311,2016,7,3,6,45,694105.7097079712,6464338.805483018
5312,5312,2016,7,3,7,15,694063.9766298318,6464263.970179857
5313,5313,2016,7,3,7,45,694041.7162529022,6464330.641603692
5314,5314,2016,7,3,8,15,694047.9875701333,6464375.829217743
5315,5315,2016,7,3,8,45,694116.2048218908,6464355.0636323895
5316,5316,2016,7,3,9,15,694125.5530429311,6464381.082108525
5317,5317,2016,7,3,9,45,694127.3410349018,6464327.545559154
5318,5318,2016,7,3,10,15,694016.6462134711,6464322.992122032
5319,5319,2016,7,3,10,45,693906.8114894546,6464365.257007914
5320,5320,2016,7,3,11,15,693880.9005178955,6464436.638681761
5321,5321,2016,7,3,12,15,693932.7814579265,6464479.572744961
5322,5322,2016,7,3,13,15,693913.5438066397,6464387.309088956
5323,5323,2016,7,3,14,15,693866.9866323806,6464507.767935213
5324,5324,2016,7,3,14,45,693872.0811094616,6464507.007541065
5325,5325,2016,7,3,15,15,693849.893176064,6464493.200159037
