,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
4285,4285,2015,6,1,4,15,694056.1178468177,6464243.171117707
4286,4286,2015,6,1,4,45,694071.6476362109,6464266.679859416
4287,4287,2015,6,1,5,15,694065.7955814633,6464268.76052611
4288,4288,2015,6,1,5,45,694050.4190606392,6464317.003183321
4289,4289,2015,6,1,6,15,694050.7995176604,6464288.142557187
4290,4290,2015,6,1,6,45,694046.6488845797,6464310.736412623
4291,4291,2015,6,1,7,15,694070.0518788405,6464292.853224067
4292,4292,2015,6,1,7,45,694066.5430808944,6464310.324611583
4293,4293,2015,6,1,8,15,694059.948207103,6464346.71282138
4294,4294,2015,6,1,8,45,694082.6611391924,6464258.073592385
4295,4295,2015,6,1,9,15,694036.2964361563,6464334.565383759
4296,4296,2015,6,1,9,45,694035.2107677498,6464306.295440802
4297,4297,2015,6,1,10,15,694042.5693529759,6464314.0793178845
4298,4298,2015,6,1,10,45,694024.5856052693,6464292.386467786
4299,4299,2015,6,1,11,15,694038.2306010473,6464348.307173747
4300,4300,2015,6,1,11,45,694054.8266202944,6464332.63908964
4301,4301,2015,6,1,12,15,694037.3200387288,6464335.644469753
4302,4302,2015,6,1,12,45,694052.9589761469,6464273.680794267
4303,4303,2015,6,1,13,15,694046.3305492086,6464309.732520871
4304,4304,2015,6,1,13,45,694034.3838436237,6464305.744656918
4305,4305,2015,6,1,14,15,694027.3661442605,6464300.127404665
4306,4306,2015,6,1,14,45,694042.6220844354,6464333.476977538
4307,4307,2015,6,1,15,15,694022.051844568,6464306.154344357
4308,4308,2015,6,1,15,45,694014.0947785558,6464306.681076322
4309,4309,2015,6,1,16,15,694025.1070071557,6464245.062263876
4310,4310,2015,6,1,16,45,694039.5306285123,6464166.475311236
4311,4311,2015,6,1,17,15,694036.0986688968,6464174.472970496
4312,4312,2015,6,1,19,15,694143.1181114627,6464158.493372663
4313,4313,2015,6,1,20,15,694155.8007975545,6464174.1817449
4314,4314,2015,6,1,20,45,694153.9663097122,6464185.096435962
4315,4315,2015,6,1,21,15,694148.5603989745,6464150.905508862
4316,4316,2015,6,1,21,45,694000.7744840641,6464224.457619602
4317,4317,2015,6,2,1,15,693845.4705574479,6464514.731399713
4318,4318,2015,6,2,1,45,693862.4290695706,6464496.903159001
4319,4319,2015,6,2,2,15,693867.8193425159,6464507.112389335
4320,4320,2015,6,2,2,45,693869.1979240405,6464498.905908364
4321,4321,2015,6,2,3,15,693842.3699991244,6464543.3999851
4322,4322,2015,6,2,3,45,693926.8135608986,6464531.095082247
4323,4323,2015,6,2,4,15,693912.1806108794,6464549.12749664
4324,4324,2015,6,2,4,45,693965.846216041,6464523.698309839
4325,4325,2015,6,2,5,15,693916.3677587179,6464493.429000771
4326,4326,2015,6,2,5,45,693998.2776540274,6464475.162401997
4327,4327,2015,6,2,7,15,694061.1334927842,6464453.410072496
4328,4328,2015,6,2,7,45,694096.4941076649,6464406.099231137
4329,4329,2015,6,2,8,15,694052.0912247027,6464382.956300066
4330,4330,2015,6,2,8,45,694052.1976162387,6464344.017105442
4331,4331,2015,6,2,9,15,694102.1009744921,6464344.3258525
4332,4332,2015,6,2,9,45,694070.2348140497,6464386.045911757
4333,4333,2015,6,2,10,15,694100.4199181875,6464337.788993165
4334,4334,2015,6,2,10,45,694122.5212130299,6464283.58405929
4335,4335,2015,6,2,11,15,694118.4301916966,6464332.633739783
4336,4336,2015,6,2,11,45,694085.1024949462,6464361.166828493
4337,4337,2015,6,2,12,15,694140.818583719,6464353.884387916
4338,4338,2015,6,2,12,45,694211.394753165,6464320.670910861
4339,4339,2015,6,2,13,15,694124.0575759861,6464385.5196189135
4340,4340,2015,6,2,13,45,694141.2067602138,6464397.727973774
4341,4341,2015,6,2,14,15,694102.0830372401,6464401.57565713
4342,4342,2015,6,2,14,45,694138.7019058389,6464375.33359719
4343,4343,2015,6,2,15,45,694159.2905485524,6464388.466599934
4344,4344,2015,6,2,16,15,694165.1153755634,6464355.373146962
4345,4345,2015,6,3,0,45,693980.0011034181,6464152.369030006
4346,4346,2015,6,3,1,15,693992.3567263334,6464167.553857807
4347,4347,2015,6,3,1,45,694056.2357278062,6464095.003384186
4348,4348,2015,6,3,2,15,694073.2257052826,6464142.291091291
4349,4349,2015,6,3,2,45,694099.0214198115,6464217.075520924
4350,4350,2015,6,3,3,15,694112.9573105839,6464211.724288486
4351,4351,2015,6,3,3,45,694081.5308191847,6464241.309936537
4352,4352,2015,6,3,4,15,694097.5339116647,6464199.111465054
4353,4353,2015,6,3,4,45,694047.7214316751,6464249.585004023
4354,4354,2015,6,3,5,15,693996.7973008957,6464263.123701118
4355,4355,2015,6,3,5,45,694005.979599959,6464309.488013988
4356,4356,2015,6,3,6,15,694000.8534118423,6464315.490810133
4357,4357,2015,6,3,6,45,694002.4185332829,6464339.711205258
4358,4358,2015,6,3,7,15,693995.5670279218,6464300.05423815
4359,4359,2015,6,3,7,45,693997.9325368636,6464279.79258799
4360,4360,2015,6,3,8,15,693982.2094428276,6464326.886908275
4361,4361,2015,6,3,8,45,693949.0673611553,6464279.194560248
