,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
2506,2506,2020,3,1,0,15,694228.4093067007,6464302.146652572
2507,2507,2020,3,1,0,45,694214.3515295541,6464321.385849645
2508,2508,2020,3,1,1,15,694219.8938657374,6464314.008489683
2509,2509,2020,3,1,1,45,694211.639899908,6464313.712803937
2510,2510,2020,3,1,2,15,694177.7177480165,6464320.219222905
2511,2511,2020,3,1,2,45,694182.5791507724,6464319.651017939
2512,2512,2020,3,1,3,15,694175.4784549018,6464296.386578683
2513,2513,2020,3,1,3,45,694197.4390829721,6464280.761226878
2514,2514,2020,3,1,4,15,694197.7466949004,6464281.813334122
2515,2515,2020,3,1,4,45,694173.5577134155,6464306.569594436
2516,2516,2020,3,1,5,15,694163.4996913695,6464298.7351541575
2517,2517,2020,3,1,5,45,694139.4839215645,6464311.568181766
2518,2518,2020,3,1,6,15,694139.3013145435,6464306.221394924
2519,2519,2020,3,1,6,45,694159.9453092442,6464298.285926233
2520,2520,2020,3,1,7,15,694142.1856540511,6464308.580340164
2521,2521,2020,3,1,7,45,694116.1585648938,6464323.59778842
2522,2522,2020,3,1,8,15,694101.2581755599,6464311.678652009
2523,2523,2020,3,1,8,45,694114.1361059527,6464278.645447623
2524,2524,2020,3,1,9,15,694096.0879191543,6464272.02171913
2525,2525,2020,3,1,9,45,694102.4454034006,6464221.518139354
2526,2526,2020,3,1,10,15,694047.3922558029,6464227.962278306
2527,2527,2020,3,1,10,45,694015.7417639812,6464277.957413439
2528,2528,2020,3,1,11,15,694012.5080402101,6464274.209748232
2529,2529,2020,3,1,11,45,693997.0533359194,6464236.68835806
2530,2530,2020,3,1,12,15,693972.1671557565,6464243.363561942
2531,2531,2020,3,1,12,45,693963.0403049738,6464268.56357507
2532,2532,2020,3,1,13,15,693960.9389072144,6464251.998763927
2533,2533,2020,3,1,13,45,693951.3886938927,6464295.6019416135
2534,2534,2020,3,1,14,15,693939.7219190202,6464262.2978557525
2535,2535,2020,3,1,14,45,693949.608632494,6464195.222583078
2536,2536,2020,3,1,15,15,693979.8850585307,6464060.937724476
2537,2537,2020,3,1,15,45,694037.1709099985,6464048.493720095
2538,2538,2020,3,1,16,15,694056.5247080663,6464085.750814748
2539,2539,2020,3,1,16,45,694070.884786468,6464065.537570759
2540,2540,2020,3,1,17,15,694056.1128519678,6464136.95585932
2541,2541,2020,3,1,17,45,694051.405004355,6464150.671556855
2542,2542,2020,3,1,18,15,694069.1181134388,6464110.247481932
2543,2543,2020,3,1,18,45,694057.4662747596,6464172.622348146
2544,2544,2020,3,1,19,15,694055.7198002213,6464154.522355475
2545,2545,2020,3,1,19,45,694055.6724759309,6464131.8410125375
2546,2546,2020,3,1,20,15,694054.0735869957,6464099.11426684
2547,2547,2020,3,1,20,45,694035.604815123,6464107.055699019
2548,2548,2020,3,1,21,15,694036.7586985364,6464110.039276033
2549,2549,2020,3,1,21,45,694021.9040302222,6464106.275942945
2550,2550,2020,3,1,22,15,694018.7582622739,6464195.962898895
2551,2551,2020,3,1,22,45,694050.5367793172,6464122.146728763
2552,2552,2020,3,1,23,15,694058.6225445283,6464114.544502664
2553,2553,2020,3,1,23,45,694036.7688579835,6464130.39467784
2554,2554,2020,3,2,0,15,694020.7397190065,6464148.14141289
2555,2555,2020,3,2,1,15,694096.1330297443,6464138.591075985
2556,2556,2020,3,2,1,45,694017.8658321118,6464181.185280431
2557,2557,2020,3,2,7,15,694003.0789094679,6464226.715971352
2558,2558,2020,3,2,7,45,693952.620529165,6464264.675747653
2559,2559,2020,3,2,8,15,693966.1720637708,6464284.122555309
2560,2560,2020,3,2,8,45,693970.151642281,6464313.548684292
2561,2561,2020,3,2,9,15,693978.1344736305,6464319.01576524
2562,2562,2020,3,2,9,45,694012.2720859075,6464249.323129059
2563,2563,2020,3,2,10,15,694011.1750425351,6464278.8304725485
2564,2564,2020,3,2,10,45,694033.0037439029,6464291.58716154
2565,2565,2020,3,2,11,15,694057.1300144201,6464315.112591297
2566,2566,2020,3,2,11,45,694048.2121858745,6464324.794999497
2567,2567,2020,3,2,12,15,694027.3941975685,6464257.013234687
2568,2568,2020,3,2,12,45,694056.6895002669,6464284.498464036
2569,2569,2020,3,2,13,15,694043.3151367245,6464263.131124013
2570,2570,2020,3,2,13,45,694039.6299001566,6464312.169124458
2571,2571,2020,3,2,14,15,694052.2364862289,6464235.27300946
2572,2572,2020,3,2,14,45,694058.008651645,6464267.253046857
2573,2573,2020,3,2,20,45,694344.2080860824,6464354.093138843
2574,2574,2020,3,2,21,15,694229.7454586464,6464386.372266395
2575,2575,2020,3,2,21,45,694220.4395868989,6464382.6937360205
