,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
3945,3945,2018,5,1,0,15,694363.9548143017,6464513.657393236
3946,3946,2018,5,1,0,45,694252.6496613831,6464451.252702512
3947,3947,2018,5,1,1,15,694236.9177583724,6464414.376081088
3948,3948,2018,5,1,1,45,694191.655443204,6464332.012022407
3949,3949,2018,5,1,2,15,694186.7964716514,6464300.865912247
3950,3950,2018,5,1,2,45,694184.0753711337,6464306.511708095
3951,3951,2018,5,1,3,15,694271.5859082361,6464444.741719302
3952,3952,2018,5,1,3,45,694196.7865075774,6464386.7424768405
3953,3953,2018,5,1,4,15,694168.9550138317,6464365.688039599
3954,3954,2018,5,1,4,45,694185.8619864867,6464341.155964913
3955,3955,2018,5,1,5,15,694177.6641041144,6464322.603992178
3956,3956,2018,5,1,5,45,694139.0135452152,6464341.671540713
3957,3957,2018,5,1,6,15,694153.8705438066,6464350.097650519
3958,3958,2018,5,1,6,45,694146.4187859793,6464344.206767861
3959,3959,2018,5,1,7,15,694083.6076422303,6464365.580882931
3960,3960,2018,5,1,7,45,694062.910591939,6464364.531505849
3961,3961,2018,5,1,8,45,694016.4776047026,6464309.420140666
3962,3962,2018,5,1,9,45,694012.6067081593,6464367.197736507
3963,3963,2018,5,1,10,15,693985.5528836699,6464394.454957608
3964,3964,2018,5,1,10,45,693860.7929148882,6464331.376137719
3965,3965,2018,5,1,11,15,693942.4472239905,6464364.161553122
3966,3966,2018,5,1,11,45,693906.140101522,6464405.797016933
3967,3967,2018,5,1,12,15,693865.4166239596,6464404.614499708
3968,3968,2018,5,1,12,45,693904.7841970164,6464396.102825163
3969,3969,2018,5,1,13,15,693882.8310422559,6464446.375809089
3970,3970,2018,5,1,13,45,693879.7038718711,6464425.471507039
3971,3971,2018,5,1,14,15,693917.095731342,6464419.907972743
3972,3972,2018,5,1,14,45,693884.9420730678,6464416.790640814
3973,3973,2018,5,1,15,15,693869.8903731789,6464427.248338887
3974,3974,2018,5,1,15,45,693859.8083999867,6464433.18244112
3975,3975,2018,5,1,16,15,693870.538069552,6464412.393398896
3976,3976,2018,5,1,16,45,693875.0098870636,6464430.281203236
3977,3977,2018,5,1,17,15,693855.109902257,6464415.103782233
3978,3978,2018,5,2,4,15,694193.0802482365,6464288.350504532
3979,3979,2018,5,2,4,45,694137.7506738906,6464274.601218633
3980,3980,2018,5,2,5,15,694076.0056211742,6464323.73185326
3981,3981,2018,5,2,5,45,694071.977859637,6464297.197092571
3982,3982,2018,5,2,6,15,693980.5837906712,6464291.33111362
3983,3983,2018,5,2,6,45,693929.7088700393,6464334.630914686
3984,3984,2018,5,2,7,15,693885.5570813676,6464347.700506126
3985,3985,2018,5,2,7,45,693857.951328287,6464374.869265317
3986,3986,2018,5,2,8,15,693881.7849392015,6464405.884272947
3987,3987,2018,5,2,8,45,693915.1419893872,6464414.218320394
3988,3988,2018,5,2,9,15,693906.5098217526,6464416.395158996
3989,3989,2018,5,2,9,45,693891.9960666412,6464416.762183822
3990,3990,2018,5,2,10,15,693889.3565728406,6464433.190016315
3991,3991,2018,5,2,10,45,693874.177425052,6464387.130175192
3992,3992,2018,5,2,11,15,693878.5479679249,6464388.218482947
3993,3993,2018,5,2,11,45,693933.953340786,6464410.996845051
3994,3994,2018,5,2,12,15,693887.4280526645,6464402.212549647
3995,3995,2018,5,2,12,45,693877.7596917658,6464427.080261843
3996,3996,2018,5,2,13,15,693881.9802126833,6464404.887826869
3997,3997,2018,5,2,13,45,693880.8787414297,6464423.623844881
3998,3998,2018,5,2,14,15,693897.1762408197,6464421.627568661
3999,3999,2018,5,2,14,45,693882.9789005466,6464432.899340415
4000,4000,2018,5,2,15,15,693831.7185452932,6464434.594174137
4001,4001,2018,5,2,15,45,693883.4463339422,6464449.810897572
4002,4002,2018,5,2,16,15,693864.241704427,6464450.020089654
4003,4003,2018,5,2,16,45,693880.1606881459,6464444.258704545
4004,4004,2018,5,2,17,15,693859.8732947223,6464452.142215949
4005,4005,2018,5,2,17,45,693836.4852403696,6464457.841773923
4006,4006,2018,5,3,5,45,693976.9328571243,6464414.243630338
4007,4007,2018,5,3,6,15,694012.3575016337,6464387.897403735
4008,4008,2018,5,3,6,45,694048.0002867728,6464369.031636755
4009,4009,2018,5,3,7,15,694017.8780055019,6464407.3617364615
4010,4010,2018,5,3,7,45,693994.5140147544,6464409.598954636
4011,4011,2018,5,3,8,15,694101.0318883935,6464391.009812799
4012,4012,2018,5,3,8,45,694128.8721323943,6464351.361983435
4013,4013,2018,5,3,9,15,694149.3631426463,6464377.638213476
4014,4014,2018,5,3,9,45,694110.505267471,6464421.132135866
4015,4015,2018,5,3,10,15,694072.1329495681,6464405.061635823
4016,4016,2018,5,3,10,45,694171.6210336747,6464341.306377857
4017,4017,2018,5,3,11,15,694212.8045528977,6464330.513479602
4018,4018,2018,5,3,11,45,694147.1440349334,6464399.572779183
4019,4019,2018,5,3,12,15,694148.9540521076,6464424.159025598
4020,4020,2018,5,3,12,45,694226.0990667436,6464449.036487596
4021,4021,2018,5,3,13,15,694121.7871472633,6464452.749371544
4022,4022,2018,5,3,14,15,694079.7407102446,6464490.554738835
4023,4023,2018,5,3,14,45,694127.6408942897,6464573.964961764
4024,4024,2018,5,3,15,15,694064.7976785396,6464527.0069584735
4025,4025,2018,5,3,15,45,694078.5420218457,6464581.047565617
4026,4026,2018,5,3,16,15,694107.1905844182,6464625.746729966
4027,4027,2018,5,3,16,45,694119.0914023214,6464641.931740508
4028,4028,2018,5,3,18,45,694230.3254214979,6464518.440995854
4029,4029,2018,5,3,20,15,694371.062993078,6464362.542661745
4030,4030,2018,5,3,20,45,694294.9194926709,6464264.4139864845
4031,4031,2018,5,3,21,15,694369.5507444926,6464359.419087661
4032,4032,2018,5,3,21,45,694238.1081862273,6464399.30041663
4033,4033,2018,5,3,22,15,694203.6370054194,6464377.398864062
4034,4034,2018,5,3,22,45,694202.9257586846,6464364.038176506
4035,4035,2018,5,3,23,15,694194.6537200746,6464351.122439396
4036,4036,2018,5,3,23,45,694204.69806754,6464322.307125989
4037,4037,2018,5,4,0,15,694190.6519550761,6464292.446826118
4038,4038,2018,5,4,0,45,694224.2901778854,6464224.585152116
4039,4039,2018,5,4,1,45,694218.8757916868,6464151.585880817
4040,4040,2018,5,4,3,15,693866.6423838148,6464192.38125651
4041,4041,2018,5,4,3,45,693813.1560901548,6464329.283607922
4042,4042,2018,5,4,4,15,693893.147139002,6464422.353760149
4043,4043,2018,5,4,4,45,693900.6204343368,6464417.437754062
4044,4044,2018,5,4,5,15,693871.0561118622,6464402.277786458
4045,4045,2018,5,4,5,45,693889.7288156273,6464425.001548887
