,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
9347,9347,2018,11,1,8,15,694079.2234380502,6464297.493847964
9348,9348,2018,11,1,12,45,694231.879994266,6464394.796565485
9349,9349,2018,11,1,13,15,694199.6492940264,6464378.407204284
9350,9350,2018,11,1,13,45,694227.4430714621,6464394.341751167
9351,9351,2018,11,1,14,15,694262.4902481743,6464383.760557153
9352,9352,2018,11,1,14,45,694244.1435324344,6464371.162830269
9353,9353,2018,11,1,15,15,694244.6287441488,6464365.559547154
9354,9354,2018,11,1,15,45,694214.5998540923,6464360.797943609
9355,9355,2018,11,1,16,15,694246.2243103755,6464360.2920699
9356,9356,2018,11,1,16,45,694271.3325936768,6464374.811379695
9357,9357,2018,11,1,17,15,694218.0761112443,6464317.725247973
9358,9358,2018,11,1,17,45,694234.4397151497,6464298.104184915
9359,9359,2018,11,1,18,15,694217.1863850524,6464266.702466968
9360,9360,2018,11,1,18,45,694223.0923347545,6464285.87766016
9361,9361,2018,11,1,19,15,694198.0449876686,6464306.537496976
9362,9362,2018,11,1,19,45,694168.3359217226,6464335.120334086
9363,9363,2018,11,1,20,15,694198.4605078839,6464352.509399797
9364,9364,2018,11,1,20,45,694162.8417405047,6464366.80901913
9365,9365,2018,11,1,21,15,694229.2171335302,6464359.426118245
9366,9366,2018,11,1,21,45,694196.5738146163,6464383.53950946
9367,9367,2018,11,1,22,15,694192.8758370283,6464365.943103314
9368,9368,2018,11,1,22,45,694199.4194191857,6464355.589701292
9369,9369,2018,11,1,23,15,694195.1461354711,6464327.214577142
9370,9370,2018,11,1,23,45,694236.263926863,6464319.866372922
9371,9371,2018,11,2,0,15,694238.3372861536,6464320.631794772
9372,9372,2018,11,2,0,45,694193.4527880343,6464312.084302591
9373,9373,2018,11,2,1,15,694228.4508942257,6464383.185376656
9374,9374,2018,11,2,1,45,694173.7755767688,6464387.290456479
9375,9375,2018,11,2,2,15,694168.5130983685,6464385.805859856
9376,9376,2018,11,2,2,45,694146.9834033793,6464376.615607331
9377,9377,2018,11,2,3,15,694213.9637298179,6464358.377158498
9378,9378,2018,11,2,3,45,694179.3670309955,6464373.533289965
9379,9379,2018,11,2,4,15,694205.0179935686,6464382.776892724
9380,9380,2018,11,2,4,45,694183.1161949335,6464382.228502646
9381,9381,2018,11,2,5,15,694192.0779113851,6464365.727992922
9382,9382,2018,11,2,5,45,694231.2675180334,6464365.1503202645
9383,9383,2018,11,2,6,15,694160.6486411142,6464371.642982272
9384,9384,2018,11,2,6,45,694151.2779268599,6464335.344058511
9385,9385,2018,11,2,7,15,694190.8209282021,6464354.314579885
9386,9386,2018,11,2,7,45,694221.0729322289,6464351.902366555
9387,9387,2018,11,2,8,15,694142.8020662222,6464331.349229981
9388,9388,2018,11,2,8,45,694119.4872272424,6464339.614322064
9389,9389,2018,11,2,9,15,694144.4635967365,6464310.367054464
9390,9390,2018,11,2,9,45,694119.2950003484,6464322.673450034
9391,9391,2018,11,2,10,15,694117.5651991289,6464325.9077276
9392,9392,2018,11,2,10,45,694112.6110175535,6464295.191040888
9393,9393,2018,11,2,11,15,694109.730218874,6464332.330894817
9394,9394,2018,11,2,11,45,694130.961885879,6464315.868063454
9395,9395,2018,11,2,12,15,694196.3141137697,6464251.399021088
9396,9396,2018,11,2,12,45,694177.1751418742,6464290.466932592
9397,9397,2018,11,2,13,15,694158.0382348554,6464289.413915359
9398,9398,2018,11,2,13,45,694095.214411085,6464324.880478951
9399,9399,2018,11,2,14,15,694117.8120703751,6464322.583732735
9400,9400,2018,11,2,14,45,694106.183817947,6464306.402460506
9401,9401,2018,11,2,15,15,694119.9986215987,6464265.774388989
9402,9402,2018,11,2,15,45,694079.728405795,6464301.459528062
9403,9403,2018,11,2,16,15,694096.0488933384,6464237.732699578
9404,9404,2018,11,2,16,45,694168.2687691583,6464218.060269203
9405,9405,2018,11,2,17,15,694152.580450784,6464244.725000554
9406,9406,2018,11,2,17,45,694110.5442727546,6464267.332670394
9407,9407,2018,11,2,18,15,694140.9781252961,6464243.231018391
9408,9408,2018,11,2,18,45,694118.0801623488,6464197.510867529
9409,9409,2018,11,2,19,15,694091.0835978327,6464214.72528738
9410,9410,2018,11,2,19,45,694109.0239039324,6464182.116890234
9411,9411,2018,11,2,20,15,694112.2667215166,6464136.700527456
9412,9412,2018,11,2,20,45,694097.515342471,6464180.008363591
9413,9413,2018,11,2,21,15,694113.6421642811,6464150.816987826
9414,9414,2018,11,2,21,45,694065.5450574275,6464179.842037969
9415,9415,2018,11,3,4,15,693878.5228547966,6464168.354628819
9416,9416,2018,11,3,4,45,693875.819319227,6464243.866591713
9417,9417,2018,11,3,5,15,693934.5371597909,6464256.890331483
9418,9418,2018,11,3,5,45,693948.6923653847,6464233.04312272
9419,9419,2018,11,3,7,15,693924.9204341532,6464250.531628977
9420,9420,2018,11,3,7,45,693931.4791857356,6464295.530041693
9421,9421,2018,11,3,8,15,693933.8052361136,6464247.985438465
9422,9422,2018,11,3,8,45,693948.0638815252,6464335.9335494265
9423,9423,2018,11,3,9,15,693903.3603171459,6464318.657809925
9424,9424,2018,11,3,9,45,693926.9759171626,6464302.3140096525
9425,9425,2018,11,3,10,15,693939.76705757,6464344.914839418
9426,9426,2018,11,3,10,45,693932.4240065651,6464345.789250052
9427,9427,2018,11,3,11,15,693923.8471560952,6464333.803720608
9428,9428,2018,11,3,11,45,693938.8588541221,6464327.63513631
9429,9429,2018,11,3,12,15,693937.5846403962,6464330.5647892365
9430,9430,2018,11,3,12,45,693920.4077829751,6464339.002088174
9431,9431,2018,11,3,13,15,693924.8235528909,6464339.209757095
9432,9432,2018,11,3,13,45,693880.9730579248,6464360.465009618
9433,9433,2018,11,3,14,15,693878.8267168683,6464375.782501096
9434,9434,2018,11,3,14,45,693888.5401977602,6464355.56336743
9435,9435,2018,11,3,15,15,693903.2551509697,6464340.297299165
9436,9436,2018,11,3,15,45,693890.0204424054,6464320.176012128
9437,9437,2018,11,3,16,15,693906.6666575652,6464357.396120641
9438,9438,2018,11,3,16,45,693886.6600822259,6464356.923520998
9439,9439,2018,11,3,17,15,693893.1356936805,6464365.165974857
9440,9440,2018,11,3,17,45,693902.5794078758,6464368.378509711
9441,9441,2018,11,3,18,15,693893.1318795077,6464365.377335436
9442,9442,2018,11,3,18,45,693895.9037243995,6464382.132745099
9443,9443,2018,11,3,19,15,693879.872407782,6464354.949388927
9444,9444,2018,11,3,19,45,693876.9570321924,6464380.788875186
9445,9445,2018,11,3,20,15,693877.9501961389,6464381.616078366
9446,9446,2018,11,3,20,45,693854.766625315,6464378.182699624
9447,9447,2018,11,3,21,15,693829.4788380896,6464377.816667727
9448,9448,2018,11,3,21,45,693868.4487409338,6464399.987829186
9449,9449,2018,11,3,22,15,693866.0502068455,6464394.312212629
9450,9450,2018,11,3,22,45,693858.5213003623,6464413.292513062
9451,9451,2018,11,3,23,15,693856.6309330519,6464418.331033068
9452,9452,2018,11,3,23,45,693878.4450536781,6464437.183220206
9453,9453,2018,11,4,0,15,693877.5980169314,6464433.399747022
9454,9454,2018,11,4,0,45,693829.9591080128,6464411.085438706
9455,9455,2018,11,4,1,15,693810.7594197703,6464423.466388457
9456,9456,2018,11,4,8,45,693940.0170452943,6464334.20465414
9457,9457,2018,11,4,9,15,693913.5584326941,6464321.521735445
9458,9458,2018,11,4,9,45,693929.124223252,6464337.066029855
9459,9459,2018,11,4,10,15,693922.8101891134,6464359.757138057
9460,9460,2018,11,4,10,45,693882.1782966803,6464362.365819104
9461,9461,2018,11,4,11,15,693866.4981395894,6464343.941148791
9462,9462,2018,11,4,11,45,693800.6701952433,6464304.53593587
9463,9463,2018,11,4,12,15,693908.4054665609,6464339.257401492
9464,9464,2018,11,4,12,45,693892.0736212546,6464349.967898428
9465,9465,2018,11,4,13,15,693897.9355614906,6464319.92691504
9466,9466,2018,11,5,1,45,694011.0830599787,6464222.984318191
9467,9467,2018,11,5,2,45,694132.2420601081,6464284.813107597
9468,9468,2018,11,5,4,15,694133.5514983395,6464318.179325403
9469,9469,2018,11,5,4,45,694150.9150960455,6464300.838299023
9470,9470,2018,11,5,5,15,694147.8886817746,6464305.195951541
9471,9471,2018,11,5,5,45,694124.4528244082,6464332.398435523
9472,9472,2018,11,5,6,15,694117.9301554032,6464315.318378614
9473,9473,2018,11,5,6,45,694091.4563895429,6464269.807801614
9474,9474,2018,11,5,7,15,694093.6434158641,6464341.531652295
