,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
8468,8468,2018,10,1,0,15,693983.7981681434,6464268.03444666
8469,8469,2018,10,1,0,45,693987.0149013656,6464197.596042137
8470,8470,2018,10,1,1,15,693985.499370422,6464156.276801467
8471,8471,2018,10,1,1,45,693978.319683987,6464234.090810259
8472,8472,2018,10,1,2,15,693982.2795333402,6464270.397960119
8473,8473,2018,10,1,2,45,693975.4217480043,6464231.774767846
8474,8474,2018,10,1,3,15,693985.3309999686,6464220.488783763
8475,8475,2018,10,1,3,45,693974.0704905277,6464200.668864958
8476,8476,2018,10,1,4,15,693970.5754925285,6464204.446117976
8477,8477,2018,10,1,4,45,693977.8634805878,6464176.963564362
8478,8478,2018,10,1,5,15,693988.6523507038,6464249.690555422
8479,8479,2018,10,1,5,45,693994.6093856955,6464269.859331777
8480,8480,2018,10,1,6,15,693997.4441297667,6464292.715974457
8481,8481,2018,10,1,6,45,693998.5423703301,6464291.728067394
8482,8482,2018,10,1,7,15,694004.5392032187,6464313.886180891
8483,8483,2018,10,1,7,45,693995.6781256996,6464249.993693145
8484,8484,2018,10,1,8,15,694003.3579252359,6464225.904385448
8485,8485,2018,10,1,8,45,693993.0630421251,6464261.889488207
8486,8486,2018,10,1,9,15,693987.853276859,6464316.460634754
8487,8487,2018,10,1,9,45,694005.7357601803,6464335.712081471
8488,8488,2018,10,1,10,15,693984.6735882235,6464347.16032216
8489,8489,2018,10,1,10,45,694004.1931791176,6464289.698990594
8490,8490,2018,10,1,11,15,694008.4326492448,6464320.957454503
8491,8491,2018,10,1,11,45,694011.372361313,6464228.086874337
8492,8492,2018,10,1,12,15,694001.2075203061,6464341.800361629
8493,8493,2018,10,1,12,45,693969.0838688205,6464303.143020018
8494,8494,2018,10,1,13,15,693983.2917051533,6464325.6496316
8495,8495,2018,10,1,13,45,693934.0882989881,6464251.155690139
8496,8496,2018,10,1,14,45,694076.3256297548,6464155.161981054
8497,8497,2018,10,2,5,45,693884.3177419852,6464249.731770291
8498,8498,2018,10,2,6,15,693872.6320022295,6464341.974203637
8499,8499,2018,10,2,6,45,693921.4811375549,6464383.634480742
8500,8500,2018,10,2,7,15,693922.0381452726,6464360.362486386
8501,8501,2018,10,2,7,45,693947.1619611626,6464373.111409627
8502,8502,2018,10,2,8,45,694006.9745674584,6464308.007461635
8503,8503,2018,10,2,9,15,693976.9043418729,6464316.436741938
8504,8504,2018,10,2,9,45,693956.0220454568,6464296.391698299
8505,8505,2018,10,2,10,15,693972.8182938372,6464345.79644352
8506,8506,2018,10,2,10,45,693975.4576414871,6464311.157513186
8507,8507,2018,10,2,11,15,693979.188732644,6464332.147988204
8508,8508,2018,10,2,11,45,694008.9498029375,6464272.579321811
8509,8509,2018,10,2,12,15,693990.6244508427,6464314.883103852
8510,8510,2018,10,2,12,45,694024.6199586854,6464281.120155288
8511,8511,2018,10,2,13,15,693995.5608936638,6464326.401851877
8512,8512,2018,10,2,13,45,693982.1334199212,6464307.524918445
8513,8513,2018,10,2,14,15,693972.4798015913,6464322.759874833
8514,8514,2018,10,2,16,15,693826.4780419952,6464421.125449629
8515,8515,2018,10,3,0,15,694173.1715044248,6464125.623714407
8516,8516,2018,10,3,0,45,694160.8755956346,6464213.284406808
8517,8517,2018,10,3,2,45,694211.2523094071,6464213.987975048
8518,8518,2018,10,3,3,15,694186.3571924885,6464233.282784684
8519,8519,2018,10,3,3,45,694187.0843969756,6464235.815530917
8520,8520,2018,10,3,4,15,694194.0133753285,6464214.9440983385
8521,8521,2018,10,3,4,45,694240.0064944898,6464222.484881854
8522,8522,2018,10,3,5,15,694205.9560548029,6464290.986952616
8523,8523,2018,10,3,5,45,694135.754302355,6464323.787053835
8524,8524,2018,10,3,6,15,694131.8409504733,6464319.910326417
8525,8525,2018,10,3,6,45,694127.328189003,6464337.998347922
8526,8526,2018,10,3,7,15,694125.5225409914,6464340.308998178
8527,8527,2018,10,3,7,45,694153.5740328057,6464321.099094316
8528,8528,2018,10,3,8,15,694109.9521239775,6464339.752745112
8529,8529,2018,10,3,8,45,694079.8360210009,6464364.406327136
8530,8530,2018,10,3,9,15,694114.2713901591,6464333.221733416
8531,8531,2018,10,3,9,45,694123.3949137563,6464353.350428087
8532,8532,2018,10,3,10,15,694092.6584883959,6464444.538371683
8533,8533,2018,10,3,10,45,694095.7098038126,6464407.653532526
