,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
7790,7790,2019,9,1,5,45,694081.2690118952,6464325.122222621
7791,7791,2019,9,1,6,15,694064.752806224,6464338.231052854
7792,7792,2019,9,1,6,45,694063.625458025,6464299.638942712
7793,7793,2019,9,1,7,15,694066.3877567846,6464302.7585353935
7794,7794,2019,9,1,7,45,694049.4163182403,6464316.202812693
7795,7795,2019,9,1,8,15,694041.3137500893,6464333.400004905
7796,7796,2019,9,1,8,45,694044.9686004156,6464383.086428127
7797,7797,2019,9,1,9,15,694080.0981035469,6464414.928933456
7798,7798,2019,9,1,9,45,694076.0091359154,6464410.68171609
7799,7799,2019,9,1,10,15,694120.5403305403,6464423.784138663
7800,7800,2019,9,1,10,45,694137.5706210885,6464442.039559997
7801,7801,2019,9,1,11,15,694145.1926698992,6464427.886824555
7802,7802,2019,9,1,11,45,694217.0019853669,6464397.832527227
7803,7803,2019,9,1,12,15,694216.313518496,6464401.545232228
7804,7804,2019,9,1,12,45,694217.7503093,6464399.381900206
7805,7805,2019,9,1,13,15,694177.9895874239,6464418.183712057
7806,7806,2019,9,1,13,45,694168.0368186941,6464404.337125004
7807,7807,2019,9,1,14,15,694189.6038149224,6464395.678488969
7808,7808,2019,9,1,14,45,694186.5851308603,6464407.031000873
7809,7809,2019,9,1,15,15,694201.9538301101,6464399.734231846
7810,7810,2019,9,1,15,45,694186.7528095295,6464389.711382787
7811,7811,2019,9,1,16,15,694179.4127285978,6464382.70922034
7812,7812,2019,9,1,16,45,694229.6043341941,6464347.596313583
7813,7813,2019,9,1,17,15,694252.6563681854,6464319.367812864
7814,7814,2019,9,2,4,45,694202.2761700918,6464249.211100399
7815,7815,2019,9,2,5,15,694136.4831590294,6464296.863551982
7816,7816,2019,9,2,5,45,694136.2963245828,6464308.873090218
7817,7817,2019,9,2,6,15,694148.9957867153,6464308.070418078
7818,7818,2019,9,2,6,45,694100.530494258,6464352.047806648
7819,7819,2019,9,2,7,15,694100.8977070956,6464348.314419616
7820,7820,2019,9,2,7,45,694128.1772945658,6464326.224622939
7821,7821,2019,9,2,8,15,694129.4961072947,6464291.3978973925
7822,7822,2019,9,2,8,45,694106.619015337,6464329.0673178695
7823,7823,2019,9,2,9,15,694116.8624208942,6464357.244035952
7824,7824,2019,9,2,9,45,694124.4997888756,6464339.754955663
7825,7825,2019,9,2,10,15,694088.7860763359,6464396.1767899245
7826,7826,2019,9,2,10,45,694111.1526954235,6464389.282610345
7827,7827,2019,9,2,11,15,694121.7062223725,6464417.662887296
7828,7828,2019,9,2,11,45,694186.7459713424,6464409.937670241
7829,7829,2019,9,2,12,15,694147.5889407806,6464420.345679767
7830,7830,2019,9,2,12,45,694161.1069762219,6464420.5023978045
7831,7831,2019,9,2,13,15,694195.907216096,6464407.867054888
7832,7832,2019,9,2,13,45,694157.3498621306,6464404.68738268
7833,7833,2019,9,2,14,15,694147.2109940525,6464410.23979917
7834,7834,2019,9,2,14,45,694190.6828251673,6464398.179374197
7835,7835,2019,9,2,15,15,694204.760007799,6464374.90082043
7836,7836,2019,9,2,15,45,694288.8881762414,6464351.752395732
7837,7837,2019,9,2,18,15,694082.4430045709,6464252.806625666
7838,7838,2019,9,2,18,45,693882.7104551354,6464404.048119035
7839,7839,2019,9,2,19,15,693864.8451621778,6464414.36428511
7840,7840,2019,9,2,19,45,693861.6625402274,6464404.918578117
7841,7841,2019,9,2,20,15,693875.3725759066,6464422.372107872
7842,7842,2019,9,2,20,45,693874.3365337637,6464471.718310229
7843,7843,2019,9,2,21,15,693886.0799659487,6464468.2339266855
7844,7844,2019,9,2,21,45,693876.05620515,6464439.25363186
7845,7845,2019,9,2,22,15,693824.7797956876,6464437.00124163
7846,7846,2019,9,2,22,45,693857.0319160515,6464453.758149078
7847,7847,2019,9,2,23,15,693807.9387783457,6464447.286671606
7848,7848,2019,9,3,5,15,693876.0551792182,6464324.927051114
7849,7849,2019,9,3,6,45,693956.3956223441,6464397.524854012
7850,7850,2019,9,3,8,15,693962.6553858331,6464357.426596462
7851,7851,2019,9,3,10,45,694049.3788636228,6464325.283005221
7852,7852,2019,9,3,11,45,694069.3703377217,6464336.32691643
7853,7853,2019,9,3,18,15,693941.8667882653,6464243.697476006
7854,7854,2019,9,4,6,15,693997.3835337932,6464250.689150845
7855,7855,2019,9,4,6,45,694001.0157687161,6464351.055323054
7856,7856,2019,9,4,7,15,694004.653291532,6464327.040414021
7857,7857,2019,9,4,7,45,693984.7396801396,6464263.626162327
7858,7858,2019,9,4,8,15,693996.7257515185,6464343.0533687575
7859,7859,2019,9,4,8,45,693998.7819069998,6464257.308618937
7860,7860,2019,9,4,9,15,694030.6193997934,6464306.122422385
7861,7861,2019,9,4,9,45,694006.3811762481,6464273.409430731
7862,7862,2019,9,4,10,15,693996.3002347909,6464297.894770458
7863,7863,2019,9,4,10,45,693997.2871397525,6464336.830993006
7864,7864,2019,9,4,11,15,693994.4393967394,6464245.362109291
7865,7865,2019,9,4,11,45,694000.5928554047,6464266.145537731
7866,7866,2019,9,4,12,15,694000.3173423319,6464275.989286911
7867,7867,2019,9,4,12,45,693976.6999157037,6464313.193972085
7868,7868,2019,9,4,13,15,694023.7865344009,6464264.107797996
7869,7869,2019,9,4,13,45,694055.6334471025,6464275.142360673
7870,7870,2019,9,4,14,15,694031.842593157,6464281.208893354
7871,7871,2019,9,4,14,45,694005.272635454,6464258.727251765
7872,7872,2019,9,4,15,15,694008.0011297074,6464195.333485119
7873,7873,2019,9,4,15,45,694071.2326433996,6464185.0551117165
7874,7874,2019,9,4,17,45,693870.9616235844,6464337.78505011
7875,7875,2019,9,5,6,15,694019.3222650157,6464245.250238063
7876,7876,2019,9,5,6,45,694011.0446800344,6464318.056348594
7877,7877,2019,9,5,7,15,694046.4455772899,6464221.976931772
7878,7878,2019,9,5,7,45,694022.5579163713,6464271.711010074
7879,7879,2019,9,5,8,15,694022.6128469208,6464290.34009956
7880,7880,2019,9,5,8,45,694045.6120683436,6464325.748103222
7881,7881,2019,9,5,9,15,694036.4266105613,6464312.767585318
7882,7882,2019,9,5,9,45,694055.5119973326,6464326.656522979
7883,7883,2019,9,5,10,15,694040.5285839136,6464321.890838473
7884,7884,2019,9,5,10,45,694059.8770627762,6464277.073899306
7885,7885,2019,9,5,11,15,694016.4785310557,6464305.62632394
7886,7886,2019,9,5,11,45,694032.3102576688,6464292.80894685
7887,7887,2019,9,5,12,15,694044.5870658263,6464252.054225196
7888,7888,2019,9,5,12,45,694050.6750120723,6464290.291904446
7889,7889,2019,9,5,13,15,694049.9858921007,6464305.848354211
7890,7890,2019,9,5,13,45,694044.1996251306,6464251.354279538
7891,7891,2019,9,5,14,15,694063.148367569,6464268.593097421
7892,7892,2019,9,5,14,45,694062.4355515263,6464272.844013738
7893,7893,2019,9,5,15,15,694074.0405921948,6464227.227898723
7894,7894,2019,9,5,15,45,694101.0512117905,6464219.444970662
7895,7895,2019,9,5,16,15,694123.6358006257,6464211.006682028
7896,7896,2019,9,5,16,45,694204.658361648,6464168.980148272
7897,7897,2019,9,5,17,15,694227.4613575086,6464188.768062979
7898,7898,2019,9,5,17,45,694267.0624693751,6464170.584423605
7899,7899,2019,9,5,18,15,694192.5028564167,6464192.507842127
7900,7900,2019,9,5,18,45,694155.489010493,6464187.930251925
7901,7901,2019,9,5,19,15,694130.7537472404,6464188.077874915
7902,7902,2019,9,5,19,45,694130.9812221038,6464135.4002644215
7903,7903,2019,9,5,20,15,694141.1526400992,6464101.725429164
7904,7904,2019,9,5,20,45,694115.6808443714,6464084.935693652
7905,7905,2019,9,6,6,15,694065.8990826225,6464141.463189088
7906,7906,2019,9,6,6,45,694091.4269374355,6464166.052256227
7907,7907,2019,9,6,7,15,694036.6972884915,6464240.67927199
7908,7908,2019,9,6,7,45,694008.2670184128,6464268.458276967
7909,7909,2019,9,6,8,15,693993.6454813711,6464297.053806585
7910,7910,2019,9,6,8,45,693976.2731161856,6464309.3388663465
7911,7911,2019,9,6,9,15,693981.7750957445,6464352.761438133
7912,7912,2019,9,6,9,45,693950.2576196105,6464316.260875569
7913,7913,2019,9,6,10,15,693953.4592772047,6464331.14594206
7914,7914,2019,9,6,10,45,693913.4632469706,6464323.621084954
7915,7915,2019,9,6,11,15,693934.7257044092,6464355.352698686
7916,7916,2019,9,6,11,45,693927.7917556247,6464369.014764988
